date,Thực Phẩm Đông Lạnh Khác,Cá - Bò Viên,Chả Giò,Hải Sản Đông Lạnh,Thịt Đông Lạnh
2025-12-18,1.0,1.0,1.0,1.0,1.0
2025-12-19,1.0,1.0,1.0,1.0,1.0
2025-12-20,1.0,1.0,1.0,1.0,1.0
2025-12-22,1.0,1.0,1.0,1.0,1.0
2025-12-23,1.0,1.0,1.0,1.0,1.0
2025-12-24,1.0,1.0,1.0,1.0,1.0
2025-12-25,1.0,1.0,1.0,1.0,1.0
2025-12-26,1.0,1.0,1.0,1.0,1.0
2025-12-27,1.0,1.0,1.0,1.0,1.0
2025-12-28,1.0,1.0,1.0,1.0,1.0
2025-12-29,1.0,1.0,1.0,0.9926674308718968,1.0
2025-12-30,1.0,1.0,1.0,0.9926674308718968,1.0
2025-12-31,1.0,1.0,1.0,0.9926674308718968,1.0
2026-01-01,1.0,1.0,1.0,0.9926674308718968,1.0
2026-01-02,1.0,1.0,1.0,0.9926674308718968,1.0
2026-01-03,1.0,1.0,1.0,0.9926674308718968,1.0
2026-01-04,1.0,1.0126389318945437,1.0,0.9926674308718968,1.0
2026-01-05,1.0,1.0126389318945437,1.0,0.9926674308718968,1.0
2026-01-06,0.9901361695736962,1.0126389318945437,0.9848032830357134,0.9808846349305079,1.0
2026-01-07,1.0223369508318563,1.0406594310112223,0.9908891728044094,0.9912761448845627,1.0
2026-01-08,1.0223369508318563,1.0406594310112223,0.9908891728044094,0.9991242528791923,1.0
2026-01-09,1.0223369508318563,1.02681064597869,0.9908891728044094,0.9991242528791923,1.0
2026-01-10,1.0223369508318563,1.02681064597869,0.9908891728044094,0.9991242528791923,1.0
2026-01-11,1.0223369508318563,1.02681064597869,0.9908891728044094,0.9991242528791923,1.0
2026-01-12,1.0223369508318563,1.039020516028388,0.9908891728044094,0.9991242528791923,1.0
2026-01-13,1.0223369508318563,1.039020516028388,0.9908891728044094,0.9991242528791923,1.0
2026-01-14,1.0223369508318563,1.039020516028388,0.9908891728044094,0.9991242528791923,1.0
2026-01-15,1.0223369508318563,1.039020516028388,0.9908891728044094,0.9991242528791923,1.0
2026-01-16,1.0223369508318563,1.039020516028388,0.9908891728044094,0.9991242528791923,1.0
2026-01-17,1.0223369508318563,1.039020516028388,0.9908891728044094,0.9991242528791923,1.0
2026-01-18,1.0223369508318563,1.039020516028388,0.9908891728044094,0.9991242528791923,1.0
2026-01-19,1.0223369508318563,1.039020516028388,0.9908891728044094,0.9991242528791923,1.0
2026-01-20,1.0069560240110313,1.0058457854912217,0.9870145785648909,0.9934104263790704,1.0
2026-01-21,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-01-22,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-01-23,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-01-24,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-01-25,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-01-26,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-01-27,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-01-28,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-01-29,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-01-30,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-01-31,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-02-01,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-02-02,1.01697171078217,1.0058457854912217,1.0076315539727776,1.0063445726986953,1.0
2026-02-03,0.9560991165520938,0.9667054589250534,0.9064309799202829,1.0063445726986953,0.9974279835390947
2026-02-04,0.969471665722813,0.9667054589250534,0.9064309799202829,1.013746532020451,0.9974279835390947
2026-02-05,0.969471665722813,0.9667054589250534,0.9064309799202829,1.013746532020451,0.9974279835390947
2026-02-06,0.969471665722813,0.9667054589250534,0.9064309799202829,1.013746532020451,0.9974279835390947
2026-02-07,0.969471665722813,0.9667054589250534,0.9064309799202829,1.013746532020451,0.9974279835390947
