date,Chăm Sóc Cá Nhân Cho Bé,Sữa Bột - Sữa Dinh Dưỡng,Sữa Tắm - Gội Cho Bé,Tã - Bỉm
2025-12-18,1.0,1.0,1.0,1.0
2025-12-19,1.0,1.0,1.0,1.0
2025-12-20,1.0,1.0,1.0,1.0
2025-12-22,1.0,1.0,1.0,1.0
2025-12-23,1.0,1.0,1.0,1.0
2025-12-24,1.0,1.0,1.0,1.0
2025-12-25,1.0,1.0,1.0,1.0
2025-12-26,1.0,1.0,1.0,1.0
2025-12-27,1.0,1.0,1.0,1.0
2025-12-28,1.0,1.0,1.0,1.0
2025-12-29,1.0,1.0,1.0,1.0
2025-12-30,1.0,1.0,1.0,1.0
2025-12-31,1.0,1.0,1.0,1.0
2026-01-01,1.0124581067093439,1.0130508933775617,1.0,1.0
2026-01-02,1.0124581067093439,1.0130508933775617,1.0,1.0
2026-01-03,1.0124581067093439,1.0130508933775617,1.0,1.0
2026-01-04,1.0124581067093439,1.0130508933775617,1.0,1.0
2026-01-05,1.0124581067093439,1.0130508933775617,1.0,1.0
2026-01-06,1.0124581067093439,1.007138460479324,0.9253789514357972,1.0
2026-01-07,1.0124581067093439,1.0164218319595775,0.9253789514357972,1.0
2026-01-08,1.0124581067093439,1.0164218319595775,0.9253789514357972,1.0
2026-01-09,1.0124581067093439,1.0164218319595775,0.9253789514357972,1.0
2026-01-10,1.0124581067093439,1.0164218319595775,0.9253789514357972,1.0
2026-01-11,1.0124581067093439,1.0164218319595775,0.9253789514357972,1.0
2026-01-12,1.0124581067093439,1.0164218319595775,0.9253789514357972,1.0
2026-01-13,1.0124581067093439,1.0164218319595775,0.9253789514357972,1.0
2026-01-14,1.0124581067093439,1.0164218319595775,0.9253789514357972,1.0
2026-01-15,1.0124581067093439,1.0164218319595775,0.9253789514357972,1.0
2026-01-16,1.0124581067093439,1.0164218319595775,0.9253789514357972,1.0
2026-01-17,1.0124581067093439,1.0164218319595775,0.9253789514357972,1.0
2026-01-18,1.0124581067093439,1.0164218319595775,0.9253789514357972,0.7095505559507096
2026-01-19,1.0124581067093439,1.0164218319595775,0.9253789514357972,0.7095505559507096
2026-01-20,0.7841235905392261,1.0005825156106984,0.8758909150137955,0.7095505559507096
2026-01-21,0.7841235905392261,1.0246020580446908,0.9754558319114994,0.7095505559507096
2026-01-22,0.7841235905392261,1.0246020580446908,0.9754558319114994,0.7095505559507096
2026-01-23,0.7841235905392261,1.0246020580446908,0.9754558319114994,0.7095505559507096
2026-01-24,0.7841235905392261,1.0246020580446908,0.9754558319114994,0.7095505559507096
2026-01-26,0.7841235905392261,1.0246020580446908,0.9754558319114994,0.7095505559507096
2026-01-27,0.7841235905392261,1.0246020580446908,0.9754558319114994,0.7095505559507096
2026-01-28,0.7841235905392261,1.0246020580446908,0.9754558319114994,0.7095505559507096
2026-01-29,0.7841235905392261,1.0246020580446908,0.9754558319114994,0.7095505559507096
2026-01-30,0.7841235905392261,1.0246020580446908,0.9754558319114994,0.7095505559507096
2026-01-31,0.7841235905392261,1.0246020580446908,0.9754558319114994,0.7095505559507096
2026-02-01,0.7938922859034776,1.0246020580446908,0.945899275584556,0.7095505559507096
2026-02-02,0.7938922859034776,1.0246020580446908,0.945899275584556,0.7095505559507096
2026-02-03,0.7938922859034776,0.9993808097674607,0.945899275584556,0.7095505559507096
2026-02-04,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-05,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-06,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-07,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-08,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-09,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-10,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-11,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-12,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-13,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-14,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-15,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-16,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-17,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-18,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-19,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
