date,Chăm Sóc Cá Nhân Cho Bé,Sữa Bột - Sữa Dinh Dưỡng,Sữa Tắm - Gội Cho Bé,Tã - Bỉm
2026-02-20,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-21,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-22,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-23,0.8848533503442519,0.9993808097674607,1.085222727954942,0.7095505559507096
2026-02-24,0.8723022590160259,0.970316187859948,1.085222727954942,0.7095505559507096
2026-02-25,0.8723022590160259,0.9869566526902194,1.085222727954942,0.7095505559507096
2026-02-26,0.8723022590160259,0.9869566526902194,1.085222727954942,0.7095505559507096
2026-02-27,0.8723022590160259,0.9869566526902194,1.085222727954942,0.7095505559507096
2026-02-28,0.8723022590160259,0.9869566526902194,1.085222727954942,0.7095505559507096
2026-03-01,0.8831694936416492,0.9869566526902194,1.085222727954942,0.7290497276991464
2026-03-02,0.8831694936416492,0.9869566526902194,1.085222727954942,0.7290497276991464
2026-03-03,0.8831694936416492,0.9869566526902194,1.085222727954942,0.7290497276991464
2026-03-04,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-05,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-06,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-07,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-08,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-09,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-10,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-11,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-12,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-13,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-14,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-15,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-16,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-17,0.8594749854898619,0.9869566526902194,0.9677531450219408,0.7290497276991464
2026-03-18,0.8594749854898619,0.9660177917922922,0.9494870310929148,0.7290497276991464
2026-03-19,0.8727781428445345,0.993227807688446,0.9940536415841537,0.7290497276991464
2026-03-20,0.8727781428445345,0.993227807688446,0.9940536415841537,0.7290497276991464
2026-03-21,0.8727781428445345,0.993227807688446,0.9940536415841537,0.7290497276991464
