date,Cà Phê,Nước Ngọt,Nước Suối,Trà - Các Loại Khác
2025-12-18,,1.0,1.0,1.0
2025-12-19,1.0,1.0,1.0,1.0
2025-12-20,1.0,1.0,1.0,1.0
2025-12-22,1.0,1.0,1.0,1.0
2025-12-23,1.0,1.0,1.0,1.0
2025-12-24,1.0,1.0,1.0,1.0
2025-12-25,1.0,1.0,1.0,1.0
2025-12-26,1.0,0.9975969629759851,1.0,1.0
2025-12-27,1.0,0.9975969629759851,1.0,1.0
2025-12-28,1.0,0.9975969629759851,1.0,1.0
2025-12-29,1.0,0.9975969629759851,1.0,1.0
2025-12-31,1.0,0.9954625310043339,1.0,1.0
2026-01-01,1.0,0.9954625310043339,1.0280324305578112,1.0004988868238716
2026-01-02,1.0008089931953241,1.0036127407786066,1.0280324305578112,1.004726068775505
2026-01-03,1.0008089931953241,1.0036127407786066,1.0280324305578112,1.004726068775505
2026-01-04,1.0008089931953241,1.0036127407786066,1.0280324305578112,1.004726068775505
2026-01-05,1.0008089931953241,1.0036127407786066,1.0280324305578112,1.004726068775505
2026-01-06,0.9918418206391817,0.9666519703081621,1.0006442520201178,0.9847621005233919
2026-01-07,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0055906977944633
2026-01-08,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0055906977944633
2026-01-09,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0055906977944633
2026-01-10,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0055906977944633
2026-01-11,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0085191347256446
2026-01-12,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0085191347256446
2026-01-13,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0085191347256446
2026-01-14,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0085191347256446
2026-01-15,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0085191347256446
2026-01-16,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0085191347256446
2026-01-17,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0085191347256446
2026-01-18,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0085191347256446
2026-01-19,0.9981134555350195,0.9930115758425946,1.0524357860948963,1.0085191347256446
2026-01-20,0.9981134555350195,0.8919447785974614,1.0070406606617677,1.0085191347256446
2026-01-21,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-22,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-23,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-23,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-24,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-25,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-26,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-27,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-28,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-28,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-29,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-30,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-01-31,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-02-01,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-02-02,0.9981134555350195,0.9799688252778651,1.0070406606617677,1.139154050888795
2026-02-03,0.9981134555350195,0.8075672397070656,1.0196286689200398,0.9389199216822276
2026-02-04,0.9981134555350195,0.8075672397070656,1.0196286689200398,0.9389199216822276
2026-02-05,0.9981134555350195,0.8075672397070656,1.0196286689200398,0.9389199216822276
2026-02-06,0.9981134555350195,0.8075672397070656,1.0196286689200398,0.9389199216822276
2026-02-07,0.9981134555350195,0.8075672397070656,1.0196286689200398,0.9357507345212279
2026-02-08,0.9981134555350195,0.8075672397070656,1.0196286689200398,0.9357507345212279
2026-02-09,0.9981134555350195,0.8075672397070656,1.0196286689200398,0.9357507345212279
2026-02-10,0.9981134555350195,0.8075672397070656,1.0196286689200398,0.9357507345212279
2026-02-11,0.9981134555350195,0.8075672397070656,1.0196286689200398,0.9357507345212279
2026-02-12,0.9981134555350195,0.8075672397070656,1.0196286689200398,0.9357507345212279
2026-02-13,0.9981134555350195,0.8075672397070656,1.0196286689200398,0.9357507345212279
2026-02-14,0.9981134555350195,0.8000190247794754,1.0196286689200398,0.9357507345212279
2026-02-15,0.9981134555350195,0.8000190247794754,1.0196286689200398,0.9357507345212279
2026-02-16,0.9981134555350195,0.8000190247794754,1.0196286689200398,0.9357507345212279
2026-02-17,0.9981134555350195,0.8000190247794754,1.0196286689200398,0.9357507345212279
2026-02-18,0.9981134555350195,0.8000190247794754,1.0196286689200398,0.9357507345212279
