product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Trà sữa Go Thái Sơn 330ml,Chai,10900.0,19500.0,https://winmart.vn/products/thai-son-tra-sua-go-330ml--s10240055?storeGroupCode=1998&storeCode=1535,"3/18/2026, 2:22:14 PM",e3232fc7-c028-40af-b4c1-58e3c74e0b9d
Xúc xích phô mai LC Food 200g,Gói,46500.0,60000.0,https://winmart.vn/products/lc-food-xuc-xich-pho-mai-200g--s10183841?storeGroupCode=1998&storeCode=1535,"3/18/2026, 2:22:14 PM",e3232fc7-c028-40af-b4c1-58e3c74e0b9d
Bánh trứng tươi sợi thịt gà Fasty túi 6gói x 26g,Gói 6,31900.0,41500.0,https://winmart.vn/products/fasty-banh-trung-soi-thit-ga-156g--s10281159?storeGroupCode=1998&storeCode=1535,"3/18/2026, 2:22:14 PM",e3232fc7-c028-40af-b4c1-58e3c74e0b9d
Bánh sừng bò Bauli Moonfils Socola 45g,Cái,8500.0,10600.0,https://winmart.vn/products/bauli-moonfils-banh-sung-bo-socola-45g--s10603099?storeGroupCode=1998&storeCode=1535,"3/18/2026, 2:22:14 PM",e3232fc7-c028-40af-b4c1-58e3c74e0b9d
Bánh sừng bò Bauli Moonfils Dâu 45g,Cái,8500.0,10600.0,https://winmart.vn/products/bauli-moonfils-banh-sung-bo-dau-45g--s10603101?storeGroupCode=1998&storeCode=1535,"3/18/2026, 2:22:14 PM",e3232fc7-c028-40af-b4c1-58e3c74e0b9d
Xúc xích Roma Đức Việt gói 500g,Gói,54000.0,66400.0,https://winmart.vn/products/duc-viet-xuc-xich-roma-goi-500g--s10005307?storeGroupCode=1998&storeCode=1535,"3/18/2026, 2:22:14 PM",e3232fc7-c028-40af-b4c1-58e3c74e0b9d
Xúc xích Mỹ Đức Việt gói 500g,Gói,51500.0,63700.0,https://winmart.vn/products/duc-viet-xuc-xich-my-goi-500g--s10005609?storeGroupCode=1998&storeCode=1535,"3/18/2026, 2:22:14 PM",e3232fc7-c028-40af-b4c1-58e3c74e0b9d
Thạch đen Cao Bằng Thạch An 480g,Hộp,27500.0,34100.0,https://winmart.vn/products/thach-an-thach-den-cao-bang-480g--s10315702?storeGroupCode=1998&storeCode=1535,"3/18/2026, 2:22:14 PM",e3232fc7-c028-40af-b4c1-58e3c74e0b9d
Kim chi cải thảo cắt lát Ông Kim's hộp 500g,Hộp,39900.0,48600.0,https://winmart.vn/products/bibigo-kim-chi-cai-thao-cat-lat-500g--s10006081?storeGroupCode=1998&storeCode=1535,"3/18/2026, 2:22:14 PM",e3232fc7-c028-40af-b4c1-58e3c74e0b9d
Xúc xích Pari Đức Việt gói 500g,Gói,52500.0,63800.0,https://winmart.vn/products/duc-viet-xuc-xich-pari-goi-10-cay-500g--s10321381?storeGroupCode=1998&storeCode=1535,"3/18/2026, 2:22:14 PM",e3232fc7-c028-40af-b4c1-58e3c74e0b9d
