date,Máy nước nóng
2025-12-19,1.0
2025-12-19,1.0
2025-12-20,0.9974653396313073
2025-12-22,0.9974653396313073
2025-12-23,0.9974653396313073
2025-12-25,0.9974653396313073
2025-12-26,0.9971246857273199
2025-12-27,0.9971246857273199
2025-12-28,0.9971246857273199
2025-12-29,0.9996703382301855
2025-12-31,0.9971033211788398
2026-01-01,1.0166215920546837
2026-01-02,1.014348679718112
2026-01-03,1.014348679718112
2026-01-04,1.0120793689605863
2026-01-05,1.0115844389807185
2026-01-06,1.0115844389807185
2026-01-07,1.0113864645786959
2026-01-08,1.013436996043645
2026-01-09,1.011340760396627
2026-01-10,1.008497035600241
2026-01-11,1.008497035600241
2026-01-12,1.008497035600241
2026-01-13,1.008497035600241
2026-01-14,1.0069789187585607
2026-01-15,1.004639006732326
2026-01-16,1.0035920894056551
2026-01-17,1.0039518184623857
2026-01-18,1.0015136262387352
2026-01-19,1.003837362863455
2026-01-20,1.0029043530486106
2026-01-21,1.0029043530486106
2026-01-22,1.0045712026260236
2026-01-24,1.0018140435521168
2026-01-25,1.0018140435521168
2026-01-26,1.004996275756594
2026-01-27,1.004996275756594
2026-01-28,1.0038447312564023
2026-01-29,1.0038447312564023
2026-01-30,1.0038447312564023
2026-01-31,1.0570850821927074
2026-02-01,1.0073492017984915
2026-02-02,1.0062530031639032
2026-02-03,1.0053291691592972
2026-02-04,1.00702225635049
2026-02-05,1.0050117332672228
2026-02-06,1.0037553280775104
2026-02-07,1.0028139783831773
2026-02-08,1.0028139783831773
2026-02-09,1.0028139783831773
2026-02-10,1.0028139783831773
2026-02-11,1.0028139783831773
2026-02-12,1.0017490492903285
2026-02-13,1.0017490492903285
2026-02-14,1.0017490492903285
2026-02-15,1.0382662301795387
2026-02-17,0.8988038612641394
2026-02-18,0.8988038612641394
2026-02-19,0.8988038612641394
2026-02-20,0.8988038612641394
2026-02-21,1.0205182809407876
2026-02-22,1.0205182809407876
2026-02-23,1.0201969775496724
2026-02-24,1.0201969775496724
2026-02-24,1.0201969775496724
2026-02-25,1.0190831251355854
2026-02-26,1.0190831251355854
2026-02-27,1.0190831251355854
