product_name,subcategory,parent_category
Bánh phủ sôcôla 2 vị AN – Choco PN 280 (280g x 12 hộp),Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy bơ giòn Borggreve 800g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Kẹo socola Snickers 240g,Kẹo - Chocolate,Bánh Kẹo
Kẹo mềm hương trái cây Sugus gói 210g,Kẹo - Chocolate,Bánh Kẹo
Bánh Ladyfingers nguyên gốc Ý Vicenzovo Matilde Vicenzi hộp 400g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Hộp Sô Cô La Đen Trứng Mini 1 La Suissa,Kẹo - Chocolate,Bánh Kẹo
Sô cô la Ferrero Rocher hộp 200g,Kẹo - Chocolate,Bánh Kẹo
Bánh quy ITO 470g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Snack khoai tây Pringles kem chua sốt hành 107g,Bánh Snack,Bánh Kẹo
Khoai tây vị tự nhiên Pringles lon 110g,Bánh Snack,Bánh Kẹo
Snack khoai tây Pringles vị phô mai 110g,Bánh Snack,Bánh Kẹo
Sô cô la Ferrero Rocher hộp trái tim 100g,Kẹo - Chocolate,Bánh Kẹo
Lộc Xuân Phú Quý 794g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Lộc Xuân An Khang hộp 400g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Chocolate Ferrero Rocher Collection,Kẹo - Chocolate,Bánh Kẹo
Hạt hướng dương ngũ vị Cha Cheer gói 130g,Hạt - Trái Cây Sấy Khô,Bánh Kẹo
Hạt hướng dương vị dừa Cha Cheer gói 130g,Hạt - Trái Cây Sấy Khô,Bánh Kẹo
HỘP TẾT lộc phú quý vàng 795.4g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh Socola Pie vị Dâu Oreo 180g,Kẹo - Chocolate,Bánh Kẹo
Hạt hướng dương nguyên vị 130g,Hạt - Trái Cây Sấy Khô,Bánh Kẹo
Kẹo Socola Snickers Túi 3 thanh 51g,Kẹo - Chocolate,Bánh Kẹo
Bánh quy thập cẩm bơ sữa Cosy 378g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy thập cẩm Cosy Socola 378g,Kẹo - Chocolate,Bánh Kẹo
Bánh Socola Pie Cadbury Oreo hộp 180g,Kẹo - Chocolate,Bánh Kẹo
"ORION Hộp quà tết An 700,6g",Bánh Xốp - Bánh Quy,Bánh Kẹo
Xoài sấy THD,Hạt - Trái Cây Sấy Khô,Bánh Kẹo
So cô la Ferrero Rocher 300g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy bơ LU Pháp 505g/540g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Kẹo dừa hạnh nhân Ferrero Confett 150g,Kẹo - Chocolate,Bánh Kẹo
Bánh gạo vị ngọt Richy gói 315g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Kẹo Alpenliebe Hương Xoài Nhân Muối Ớt 223g,Kẹo - Chocolate,Bánh Kẹo
Nho khô nguyên cành Crimson Sunraysia 420g,Hạt - Trái Cây Sấy Khô,Bánh Kẹo
Nho khô Sunraysia Úc 220g,Hạt - Trái Cây Sấy Khô,Bánh Kẹo
Kẹo socola nhân đậu phộng M&M's gói 100g,Kẹo - Chocolate,Bánh Kẹo
Snack Lay Stax khoai tây sườn BBQ 160g,Bánh Snack,Bánh Kẹo
Socola Merci Storck Petits - Crunch 315g,Kẹo - Chocolate,Bánh Kẹo
Socola viên hỗn hợp Ritter 192g,Kẹo - Chocolate,Bánh Kẹo
Thạch rau câu Zai Zai+ dài Đức Hạnh (Kg),Kẹo - Chocolate,Bánh Kẹo
Thạch Caramen Zai Zai Đức Hạnh (Kg),Kẹo - Chocolate,Bánh Kẹo
Thạch rau câu Zai Zai Đức Hạnh (Kg),Kẹo - Chocolate,Bánh Kẹo
Trái cây sấy Vinamit gói 250g,Hạt - Trái Cây Sấy Khô,Bánh Kẹo
Kẹo cà phê Coffeeshot Kopiko gói 150g,Kẹo - Chocolate,Bánh Kẹo
Kẹoo Kopiko Capuchiano Coffếhot 140g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Kẹo Hương Dâu Kem 119/115.5g,Kẹo - Chocolate,Bánh Kẹo
Kẹo sữa caramen Alpenliebe gói 120g,Kẹo - Chocolate,Bánh Kẹo
Kit Kat Pack Chunky Tết 114g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Thạch rau câu Vfoods New Joy 800g (2 lớp),Kẹo - Chocolate,Bánh Kẹo
Hộp Bánh Pocky Glico 118g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Nho khô Sunraysia hỗn hợp 90g,Hạt - Trái Cây Sấy Khô,Bánh Kẹo
Socola Merci Storck Finest 375g,Kẹo - Chocolate,Bánh Kẹo
Thạch New Joy VFOOD hương sữa chia 920,Kẹo - Chocolate,Bánh Kẹo
Kẹo Socola Ferrero Rocher 375g,Kẹo - Chocolate,Bánh Kẹo
Xoài sấy dẻo Tuấn Đạt gói 200g,Hạt - Trái Cây Sấy Khô,Bánh Kẹo
Bánh Choco-Pie Orion hộp 396g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Hộp quà Tết An - Tân niên Vạn Sự Khởi Đầu An Orion 683.6g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh xốp phủ sô cô la trà xanh Nestlé KitKat gói 8 + 2 thanh 2F 136g,Kẹo - Chocolate,Bánh Kẹo
Socola Beautitude túi chuông hảo hạng 350g,Kẹo - Chocolate,Bánh Kẹo
Socola beautitude túi radter 300g,Kẹo - Chocolate,Bánh Kẹo
Kẹo tứ vị Tuấn Đạt hộp 450g,Kẹo - Chocolate,Bánh Kẹo
Sô cô la Merci hộp 400g,Kẹo - Chocolate,Bánh Kẹo
Kẹo gừng Ginberbon 125g,Kẹo - Chocolate,Bánh Kẹo
Bánh sô cô la KitKat Nestlé gói 35g,Kẹo - Chocolate,Bánh Kẹo
Hộp Sô Cô La Đen Và Trắng Nhân Nougat Sperlari 165g,Kẹo - Chocolate,Bánh Kẹo
Bánh quy bơ Danisa hộp 454g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy bơ Danisa hộp 681g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh Chocopie dưa hấu 336g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Lambertz Luxury hộp thiếc hộp 420g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh dừa nướng THD,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh Mochi hỗn hợp SanShuGong 300g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy bơ Marika vị tự nhiên 432g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh đậu xanh Hoàng Gia Chĩnh Lộc Vàng 80g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Hạt bí rang Minh Việt gói 400g,Hạt - Trái Cây Sấy Khô,Bánh Kẹo
Bánh Gouté mè giòn tan Orion hộp 475.2g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Ô mai sấu bao tử Hồng Lam hộp 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh Richy Kenju Kem dẻo đỏ 310g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy bơ Danisa hộp 908g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh qui bơ Danisa hộp 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Ô mai chanh mặn ngọt Hồng Lam hộp 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Ô mai mơ cam thảo Hồng Lam hộp 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Ô mai mơ gừng Hồng Lam 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Ô mai mơ gừng Hồng Lam chua mặn ngọt hộp 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Ô mai mơ xí muội Hồng Lam chua ngọt 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Kẹo Chobisca Đức Hạnh (kg),Kẹo - Chocolate,Bánh Kẹo
Ô mai mận xào chua ngọt Hồng Lam 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Ô mai mận cơm chua ngọt Hồng Lam hộp 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Ô mai mơ chua mặn ngọt Hồng Lam hộp 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Mực tẩm gia vị Thái Bento gói 24g,Bánh Snack,Bánh Kẹo
Snack mực tẩm gia vị cay ngọt Bento gói 24g,Bánh Snack,Bánh Kẹo
Thạch Thái Lan 3in1 Trái Cây Deedo 720g,Kẹo - Chocolate,Bánh Kẹo
Bánh quy bơ Pep Farm Chessmen 206g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh Loacker Socola Quadratini 125g,Kẹo - Chocolate,Bánh Kẹo
Bánh quy Marine Boy vị tôm nướng môi đỏ Orion hộp 32g,Bánh Snack,Bánh Kẹo
Bánh quy Marine Boy vị rong biển tuyết xanh hộp 32g,Bánh Snack,Bánh Kẹo
Bánh que tôm Doakbua gói 55g,Bánh Snack,Bánh Kẹo
Bánh Choco-Pie Orion hộp 198g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh Custas kem trứng Orion hộp 276g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy Goody Chip hạt điều 80g,Hạt - Trái Cây Sấy Khô,Bánh Kẹo
Bánh cao cấp Orion CUSTAS hộp 138g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh gạo vị bò nướng One-One gói 150g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy Tresor Dore hộp 600g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh bông lan vị bơ sữa Solite khay 360g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh bông lan cuốn vị dâu Solite hộp 360g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy bơ Diet Leibniz gói 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh bông lan cuốn kem vị lá dứa Solite hộp 360g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh cracker dinh dưỡng AFC vị lúa mì hộp 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh cracker vị bò bít tết AFC hộp 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh cracker AFC vị tảo biển hộp 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh cracker dinh dưỡng AFC vị rau hộp 200g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy Marie Cosy Kinh Đô gói 450g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quế vị kem dâu Cosy gói 132g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy Marie Cosy Kinh Đô gói 144g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quế vị kem lá dứa Cosy gói 132g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quế vị kem socola Cosy Kinh Đô gói 132g,Kẹo - Chocolate,Bánh Kẹo
Bánh que Yan Yan hương vani 50g,Bánh Snack,Bánh Kẹo
Bánh que Yan Yan socola 50g,Kẹo - Chocolate,Bánh Kẹo
Bánh que Lucky Stick hương socola 45g,Kẹo - Chocolate,Bánh Kẹo
Bánh que Yan Yan vị dâu 50g,Bánh Snack,Bánh Kẹo
Bánh que hương dâu Lucky Stick 45g,Bánh Snack,Bánh Kẹo
Bánh qui Gullon Doradas al Horno 330g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh ăn kiêng Gullon Cookíe Socola gói 125g,Kẹo - Chocolate,Bánh Kẹo
Bánh Gullon ăn kiêng không đường nhiều chất xơ 170g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh Choco Phaner Marshmallow P&N Chocolate gói 216g,Kẹo - Chocolate,Bánh Kẹo
Snack Ostar vị Kim Chi Hàn Quốc 58/63g,Bánh Snack,Bánh Kẹo
Bánh que thịt heo xông khói Doakbua gói 25g,Bánh Snack,Bánh Kẹo
Bánh trứng Tipo Hữu Nghị gói 220g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh que tôm Doakbua gói 25g,Bánh Snack,Bánh Kẹo
Bánh que thịt xông khói Doakbua gói 55g,Bánh Snack,Bánh Kẹo
Bánh que sô cô la Toppo hộp 40g,Kẹo - Chocolate,Bánh Kẹo
Sô cô la KitKat Chunky gói 38g,Kẹo - Chocolate,Bánh Kẹo
Socola chunky Kitkat 3 thanh 114g,Kẹo - Chocolate,Bánh Kẹo
Bánh bơ trứng Richy gói 270g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh Mochi đậu đỏ Royal Family 120g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy kem vani Oreo gói 264.6g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh gạo Nhật Ichi Kameda gói 100g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh cà phê Mayora hộp 180g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh quy cà phê Roma gói 142g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh snack vị kim chi Hàn Quốc O'Star gói 90g,Bánh Snack,Bánh Kẹo
Bánh snack khoai tây tươi vị tảo biển O'Star gói 90g,Bánh Snack,Bánh Kẹo
Bánh qui cacao Leibniz Zoo Animals 100g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh mochi vị trà xanh Royal Family hộp 152g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh kem xốp phômai Richeese Nabati cheese wafer hộp 160g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh Royal Family Mochi Đậu đỏ 180g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh kem xốp phômai Richeese Nabati cheese wafer 320g (16gr x20),Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh mochi trà xanh kem Royal Family hộp 180g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh Qui Coffê Joy Vị Cà Phê 312/360g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh Mochi nhân tổng hợp Yuki& Love 450g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh que nhân socola Toppo gói 132g,Kẹo - Chocolate,Bánh Kẹo
Bánh qui Cremon 16 loại ngũ cốc 190g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh gạo Nhật Ichi vị mật ong Kameda gói 180g,Bánh Xốp - Bánh Quy,Bánh Kẹo
Bánh snack que nhân cà phê moka Akiko gói 160g,Bánh Snack,Bánh Kẹo
Bánh xốp nhân phô mai Nabati gói 52g,Bánh Xốp - Bánh Quy,Bánh Kẹo
