date,Bánh Snack,Bánh Xốp - Bánh Quy,Hạt - Trái Cây Sấy Khô,Kẹo - Chocolate
2026-02-01,1.0,1.0,1.0,1.0
2026-02-02,1.0,1.0,1.0,1.0007145627510006
2026-02-03,0.9801503088585536,0.9273545732309826,0.9820391390418755,0.8522895778431292
2026-02-04,0.9801503088585536,0.9273545732309826,0.9820391390418755,0.8522895778431292
2026-02-05,0.9801503088585536,0.9273545732309826,0.9820391390418755,0.8583340502267575
2026-02-06,0.9801503088585536,0.9284880601156065,0.9820391390418755,0.8567129194820179
2026-02-07,0.9801503088585536,0.9275070465329053,0.9820391390418755,0.8567129194820179
2026-02-08,0.9801503088585536,0.852530898545324,0.9820391390418755,0.8409323995866452
2026-02-09,0.9801503088585536,0.852530898545324,0.9820391390418755,0.8228342922754968
2026-02-10,0.9801503088585536,0.8009434212667749,0.9820391390418755,0.8228342922754968
2026-02-11,0.9801503088585536,0.8003987134806975,0.9820391390418755,0.8228342922754968
2026-02-12,0.9801503088585536,0.8003987134806975,0.9820391390418755,0.8228342922754968
2026-02-13,0.9801503088585536,0.8003987134806975,0.9820391390418755,0.8228342922754968
2026-02-14,0.9801503088585536,0.8003987134806975,0.9820391390418755,0.8228342922754968
2026-02-15,0.9801503088585536,0.8003987134806975,0.9820391390418755,0.8228342922754968
2026-02-16,0.9801503088585536,0.8013036835172475,0.9820391390418755,0.8228342922754968
2026-02-17,0.9801503088585536,0.8013036835172475,0.9820391390418755,0.8232797348419197
2026-02-18,0.9801503088585536,0.8013036835172475,0.9820391390418755,0.8232797348419197
