date,product_name,final_price,is_missing
2025-12-18,Bánh mì hoa cúc OTTO gói 300g,,True
2025-12-19,Bánh mì hoa cúc OTTO gói 300g,,True
2025-12-21,Bánh mì hoa cúc OTTO gói 300g,,True
2026-01-01,Bánh mì hoa cúc OTTO gói 300g,,True
2026-01-04,Bánh mì hoa cúc OTTO gói 300g,,True
2026-01-19,Bánh mì hoa cúc OTTO gói 300g,,True
2026-01-27,Bánh mì hoa cúc OTTO gói 300g,,True
2026-01-28,Bánh mì hoa cúc OTTO gói 300g,,True
2026-01-29,Bánh mì hoa cúc OTTO gói 300g,,True
2026-01-30,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-08,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-09,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-10,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-13,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-14,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-16,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-17,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-18,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-19,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-20,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-21,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-22,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-23,Bánh mì hoa cúc OTTO gói 300g,,True
2026-02-27,Bánh mì hoa cúc OTTO gói 300g,,True
2025-12-20,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2025-12-21,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2025-12-22,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2025-12-24,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2025-12-26,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2025-12-30,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2025-12-31,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-01-01,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-01-04,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-01-19,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
