product_name,subcategory,parent_category
Lạp xưởng tôm Vissan gói 500g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Lạp xưởng Mai Quế Lộ Vissan gói 500g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Lạp xưởng Vissan gói 500g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Lạp xưởng VISSAN Mai Quế Lộ gói 200g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích dinh dưỡng bò Vissan gói 175g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Bánh phồng tôm Sa Giang gói 100g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh Sandwich nhỏ Bảo Ngọc gói 275g,Bánh mì,Thực Phẩm Chế Biến
Xúc xích phô mai LC Food 200g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Bánh mì hoa cúc OTTO gói 300g,Bánh mì,Thực Phẩm Chế Biến
Kim chi cải thảo cắt lát Ông Kim's hộp 500g,Kim chi,Thực Phẩm Chế Biến
Chà bông keo sạch Ponnie gói 100g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Ba rọi xông khói Việt Nam Angst-Trường Vinh gói 500g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Thạch đen Cao Bằng Thạch An 480g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Lốc 6 gói bánh trứng Karo chà bông 26g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bịch 6 gói Karo Bánh trứng chà bông phô mai 26g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Xúc xích bò tiệt trùng Every Day Halong Canfoco túi 250g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Chân giò ủ muối Đức Việt gói 450g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Dăm bông vai Angst-Trường Vinh gói 200g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Thăn lưng xông khói Angst-Trường Vinh gói 200g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Salami khô Ông già Ika gói 100g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Kim chi cải thảo cây ÔNG KIM'S gói 1kg,Kim chi,Thực Phẩm Chế Biến
Bánh bao nhân xíu mại Phú Mỹ Bakery 300g,Bánh bao,Thực Phẩm Chế Biến
Bánh bao chay trắng Malai 40 chiếc 600g,Bánh bao,Thực Phẩm Chế Biến
Măng muối ớt muối dổ Kim bôi lọ 750g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh cốm Bảo Minh hộp 85g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh mỳ Paket Bảo Ngọc gói 108g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh sừng hươu Bảo Ngọc gói 175g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Nem Bùi Hải Tuyết 100g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
