date,Vệ Sinh Nhà Cửa,Đồ dùng nhà bếp,Đồ dùng trong nhà,Đồ Dùng Phòng Ngủ,Thiết bị dùng điện trong nhà
2025-12-18,1.0,1.0,1.0,1.0,1.0
2025-12-19,1.0,1.0,1.0,1.0,1.0
2025-12-20,1.0,1.0,1.0,1.0,1.0
2025-12-22,1.0,1.0,1.0,1.0,1.0
2025-12-23,1.0,1.0,1.0,1.0,1.0
2025-12-24,1.0,1.0,1.0,1.0,1.0
2025-12-25,0.9846606554248408,0.9937682848190799,1.0032592350252023,1.0,1.0
2025-12-26,0.9846606554248408,0.9937682848190799,1.0032592350252023,1.0,1.0
2025-12-27,0.9846606554248408,0.9937682848190799,1.0032592350252023,1.0,1.0
2025-12-28,0.9846606554248408,0.9937682848190799,1.0032592350252023,1.0,1.0
2025-12-29,0.9846606554248408,0.9937682848190799,1.0032592350252023,1.0,1.0
2025-12-30,0.9846606554248408,0.9937682848190799,1.0032592350252023,1.0,1.0
2025-12-31,0.9846606554248408,0.9937682848190799,1.0032592350252023,1.0,1.0
2026-01-02,0.9846606554248408,0.9923894682947535,1.0348877553257823,1.0,1.0
2026-01-03,0.9846606554248408,0.9923894682947535,1.0348877553257823,1.0,1.0
2026-01-05,1.0074425520844226,1.0625932255442836,1.0897299414392525,1.2912628188558932,1.0
2026-01-06,0.9006939981031962,0.8662318100559474,1.0897299414392525,1.2912628188558932,1.0
2026-01-07,1.0125862788543456,0.9522928403852268,1.6832617573428341,1.2912628188558932,1.0
2026-01-08,1.0125862788543456,0.9522928403852268,1.6832617573428341,1.2912628188558932,1.0
2026-01-09,0.992329164819024,0.8774043971449762,1.6832617573428341,0.9874472011464589,1.0
2026-01-11,0.992329164819024,0.8774043971449762,1.6832617573428341,0.9874472011464589,1.0
2026-01-12,0.992329164819024,0.8774043971449762,1.6832617573428341,0.9874472011464589,1.0
2026-01-13,0.992329164819024,0.8774043971449762,1.6832617573428341,0.9874472011464589,1.0
2026-01-14,0.992329164819024,0.8774043971449762,1.6832617573428341,0.9874472011464589,1.0
2026-01-15,0.992329164819024,0.8774043971449762,1.6832617573428341,0.9874472011464589,1.0
2026-01-16,0.992329164819024,0.8774043971449762,1.6832617573428341,0.9874472011464589,1.0
2026-01-17,0.992329164819024,0.8774043971449762,1.6832617573428341,0.9874472011464589,1.0
2026-01-19,0.992329164819024,0.8774043971449762,1.6832617573428341,0.9874472011464589,1.0
2026-01-20,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-01-21,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-01-22,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-01-23,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-01-24,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-01-25,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-01-26,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-01-27,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-01-28,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-01-29,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-01-30,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-01-31,0.992329164819024,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-02-01,0.9781483160307104,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-02-02,0.9781483160307104,0.8433114044429572,1.6832617573428341,0.9874472011464589,1.0
2026-02-03,0.9781483160307104,0.752630431150465,1.6832617573428341,0.9874472011464589,1.0
2026-02-04,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-05,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-06,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-07,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-08,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-09,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-10,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-11,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-12,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-13,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-14,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-15,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-16,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-17,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
2026-02-18,0.9781483160307104,0.7459094209332566,1.6832617573428341,0.9874472011464589,1.0
