product_name,unit,final_price,marked_price,deal,gift_price,product_url,scrape_timestamp,run_id
Tương ớt cay vừa Nam Dương 255g,Chai,8900.0,12000.0,,0.0,https://winmart.vn/products/nam-duong-tuong-ot-cay-vua-255g--s10141980?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Nước tương tỏi ớt tươi Nam Dương chai 310g,Chai,13000.0,17600.0,,0.0,https://winmart.vn/products/nam-duong-nuoc-tuong-toi-ot-310g--s10181130?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Nước tương đậm đặc Nam Dương chai 500ml,Chai,16000.0,21600.0,,0.0,https://winmart.vn/products/nam-duong-nuoc-tuong-dam-dac-500ml--s10327429?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Dầu hào Maggi chai 350g,Chai,20000.0,26400.0,Mua tối đa 5 chai với giá 20.000 ₫,0.0,https://winmart.vn/products/maggi-dau-hao-chai-350g--s10008707?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Hướng dương Simply 2L,Chai,125000.0,162000.0,,0.0,https://winmart.vn/products/simply-huong-duong-2l--s10405275?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Sốt mì Spaghetti Ottogi Fresco lọ 220g,Lọ,24100.0,30600.0,,0.0,https://winmart.vn/products/otoki-sot-mi-spaghetti-fresco-lo-220g--s10009108?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Dầu nành Tường An chai 1L,Chai,55000.0,69300.0,,0.0,https://winmart.vn/products/tuong-an-dau-nanh-chai-1l--s10010117?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Sốt mayonnaise Simply hương gạo rang chai 230g,Chai,31300.0,39800.0,,0.0,https://winmart.vn/products/simply-mayonnaise-huong-gaorang-230g--s10140939?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Xốt Mayonnaise Simply Chấm Và Trộn Đều Ngon chai 230g,Chai,30600.0,38800.0,,0.0,https://winmart.vn/products/simply-mayonnaise-cham-tron-230g--s10140940?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Dầu ăn cao cấp Meizan GOLD 1L,Chai,48300.0,60600.0,,0.0,https://winmart.vn/products/meizan-dau-an-cao-cap-gold-1l--s10010069?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Dầu gạo nguyên chất Simply chai 2L,Chai,119000.0,148000.0,,0.0,https://winmart.vn/products/simply-dau-gao-rbo-luc-2l--s10405276?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Nước tương thượng hạng Nam Dương chai 210ml,Chai,18200.0,22800.0,,0.0,https://winmart.vn/products/nam-duong-nuoc-tuong-thuong-hang-210ml--s10600001?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Tương cà chua Heinz chai 300g,Chai,29700.0,36600.0,,0.0,https://winmart.vn/products/heinz-tuong-ca-chua-heinz-chai-300g--s10008931?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
Dầu ăn cao cấp Meizan GOLD 2L,Chai,94400.0,116000.0,,0.0,https://winmart.vn/products/meizan-dau-an-cao-cap-gold-2l--s10010070?storeGroupCode=1998&storeCode=1535,"1/27/2026, 2:18:07 PM",a190ea7c-6902-46a1-9018-9d2dad25239a
