brand_name,n_products,n_categories,categories,avg_price,median_price,price_p10,price_p90,avg_promo_rate,avg_discount_depth,avg_price_volatility,price_range_p90_p10,brand_quadrant
Meiji,14,2,"Bánh Kẹo, Sữa Tươi",63106.32897966955,51216.66666666667,35102.63157894737,126411.57894736849,0.24373175680142248,0.13994476628399816,0.04374220796294498,91308.94736842113,prestige_leader
Lay'S,14,1,Bánh Kẹo,24281.105307735743,22000.0,10900.0,34400.0,0.05686229531338227,0.209413540228435,0.02367315742721976,23500.0,household_giant
Cầu Tre,14,1,Thực Phẩm Đông Lạnh,76300.66110233545,74700.0,56100.0,85990.0,0.12281599832806588,0.1692468489598658,0.030073151310049808,29890.0,household_giant
Minh Việt,13,1,Bánh Kẹo,186785.98901098903,171900.0,90403.57142857143,286380.0,0.0467032967032967,0.08904810644831115,0.003601470911068681,195976.42857142858,local_value
Kun,13,1,Sữa Tươi,44590.29819813351,27889.70588235294,5469.523809523809,128704.9645390071,0.42215637723443095,0.14295538184159762,0.06415722938547036,123235.44072948329,local_value
Kim Bôi,13,2,"Rau - Củ - Trái Cây, Thực Phẩm Chế Biến",46475.39787798409,43900.0,33780.0,61288.965517241384,0.03713527851458886,0.15125310524826263,0.011705505600526087,27508.965517241384,local_value
Nestlé,13,3,"Bánh Kẹo, Sữa Tươi, Thực Phẩm Khô",81722.73977459877,63209.375,16933.548387096776,109572.8,0.250669707751893,0.1933171535302266,0.06200990667334551,92639.25161290323,household_giant
Cholimex,13,1,Gia Vị,35684.22454733636,19040.0,9063.066666666668,67486.22950819672,0.3169164743391468,0.11886953883131901,0.04744219283817789,58423.16284153005,household_giant
Bảo Minh,12,3,"Bánh Kẹo, Thực Phẩm Chế Biến, Thực Phẩm Khô",91779.25925925926,74450.0,10840.0,180220.0,0.06759259259259259,0.2518283402012102,0.011465682435327796,169380.0,local_value
Hảo Hảo,12,2,"Gia Vị, Mì - Thực Phẩm Ăn Liền",104230.65476190475,128000.0,9397.5,210800.00000000003,0.06924603174603174,0.05329020259575815,0.006364296955667212,201402.50000000003,household_giant
Nutifood,12,2,"Chăm Sóc Bé, Sữa Tươi",253313.86003438805,123198.27586206896,32166.1797752809,614087.749706228,0.3779700728427413,0.13247500925455552,0.0420941580644818,581921.5699309472,prestige_leader
An Vĩnh,12,1,Thực Phẩm Khô,93727.86779868137,81012.6456876457,49633.846153846156,129785.24590163934,0.1431813264091745,0.15121379379853955,0.03045097804995259,80151.39974779318,local_value
Koreno,11,1,Mì - Thực Phẩm Ăn Liền,67042.22570532915,80934.4827586207,7915.0,81400.0,0.5363636363636364,0.11269036350172254,0.016035750790374736,73485.0,local_value
Knorr,11,1,Gia Vị,44509.62076024336,35443.85964912281,7400.0,100721.62162162163,0.17325750034350806,0.14436865990548012,0.03396960998904284,93321.62162162163,household_giant
Haribo,11,1,Bánh Kẹo,38962.63607827423,28800.0,28500.0,51474.1935483871,0.0714270535448656,0.1883473266499582,0.030397754229187366,22974.1935483871,niche_professional
Simply,11,2,"Gia Vị, Thực Phẩm Khô",94835.4112344251,69106.15384615384,29627.63157894737,133528.57142857142,0.8339516546701758,0.17691390018119235,0.04554432845594727,103900.93984962405,household_giant
Đôi Đũa Vàng,11,1,Thực Phẩm Đông Lạnh,104531.93118028724,102300.0,54700.0,167000.0,0.08420208500400962,0.24547574528299254,0.03301807694011955,112300.0,niche_professional
Nam Dương,11,1,Gia Vị,13691.0358205119,14479.661016949152,8787.012987012988,17000.0,1.0,0.2317156783547028,0.013259128552502,8212.987012987012,household_giant
