feature,VIF
is_branded,1.1280333754988423
is_import,1.0084891030103977
is_house_brand,1.0104345104947994
ln_pack_size,1.036390513558527
pack_count,1.2150356345417979
has_health_claim,1.0722420296975468
has_freshness_claim,1.088738400653387
name_length,1.3029608328326463
