category,n,brand_premium_marked,brand_premium_final,pct_premium_marked,pct_premium_final,erosion_pct,erosion_direction
Bánh Kẹo,550,0.1244,0.1193,13.2,12.7,4.1,eroded (smaller premium)
Chăm Sóc Bé,34,0.43,0.5211,53.7,68.4,-21.2,amplified (larger premium)
Gia Vị,294,-0.1866,-0.1971,-17.0,-17.9,5.6,amplified (more negative)
Mì - Thực Phẩm Ăn Liền,222,-0.1119,-0.1272,-10.6,-11.9,13.7,amplified (more negative)
Rau - Củ - Trái Cây,123,-0.1102,-0.1121,-10.4,-10.6,1.7,amplified (more negative)
Sữa Tươi,330,-0.1617,-0.1844,-14.9,-16.8,14.0,amplified (more negative)
Thực Phẩm Chế Biến,167,0.1542,0.1655,16.7,18.0,-7.3,amplified (larger premium)
Thực Phẩm Khô,170,0.0454,0.0517,4.6,5.3,-13.8,amplified (larger premium)
Thực Phẩm Đông Lạnh,131,-0.2183,-0.2111,-19.6,-19.0,-3.3,eroded (less negative)
