date,overall_average_index,staples_average_index,other_food_average_index
2025-12-18,1.0,1.0,1.0
2025-12-19,0.998920872538341,1.0,0.9988409371708108
2025-12-20,0.9987177262522885,1.0,0.9986227430117173
2025-12-22,0.9985712214785146,1.0,0.9984653860324786
2025-12-23,0.9967318279405479,1.0,0.9964897411213293
2025-12-24,0.9970481095514486,1.0,0.9968294509997041
2025-12-25,0.9972314667347253,1.0,0.9970263901965569
2025-12-26,0.9962445099718575,1.0,0.995903101787481
2025-12-27,0.9966420051903303,1.0,0.9963932648340583
2025-12-28,0.9966420051903303,1.0,0.9963932648340583
2025-12-29,0.9966420051903303,1.0,0.9963932648340583
2025-12-30,0.9922359628195087,,0.9922359628195088
2025-12-31,0.9938021939034823,1.0,0.993343097155592
2026-01-01,1.0007633975026986,1.0,1.0008532089736042
2026-01-02,0.9940569918921658,1.0,0.9936167690693635
2026-01-03,0.9940835199326973,1.0,0.9936452621499341
2026-01-04,0.988306521092662,1.0,0.9866360241058995
2026-01-05,0.9940835199326973,1.0,0.9936452621499341
2026-01-06,0.9917936719515328,1.0,0.9911857957997945
2026-01-07,0.9920621793664781,1.0,0.991474192652884
2026-01-08,0.9923932345068418,1.0,0.9918297703962374
2026-01-09,0.9922465289103427,1.0,0.9916721977185162
2026-01-10,0.9921038180103918,1.0,0.9915189156407912
2026-01-11,0.9921038180103918,1.0,0.9915189156407912
2026-01-12,0.9921038180103918,1.0,0.9915189156407912
2026-01-13,0.9913532428544206,1.0,0.9907127423251184
2026-01-14,0.9913467141492337,1.0,0.9907057300121399
2026-01-15,0.9914510243085459,1.0,0.9908177668499197
2026-01-16,0.9915920601090688,1.0,0.9909692497467775
2026-01-17,0.9915920601090688,1.0,0.9909692497467775
2026-01-18,0.9923964957631871,1.0,0.991788215424242
2026-01-19,0.9979807525529115,1.0,0.9976700990995133
2026-01-20,0.9903408487535558,1.0,0.989625356068634
2026-01-21,0.9922427450751482,1.0,0.9916681335992331
2026-01-22,0.9922866851684728,1.0,0.9917153285142857
2026-01-23,0.9901068752208523,1.0,0.98920750024093
2026-01-24,0.9922276036178301,1.0,0.9916518705524843
2026-01-25,0.982964573418809,,0.982964573418809
2026-01-26,0.9921975832529208,1.0,0.9916196264568408
2026-01-27,0.9928669895204799,1.0,0.9923386183738487
2026-01-28,0.9928669895204799,1.0,0.9923386183738487
2026-01-29,0.9927650520681747,1.0,0.9922291299991507
2026-01-30,1.0014733282534176,1.0,1.0017412061176751
2026-01-31,0.9930137450028007,1.0,0.9924962446326377
2026-02-01,0.9927597402830737,1.0,0.9922027972279255
2026-02-02,0.9936647727476895,1.0,0.9932424242642022
