product_name,unit,subcategory,parent_category,avg_final_price,avg_marked_price,days_observed,promo_rate,avg_discount_depth,price_volatility,n_price_changes,max_daily_jump_pct,ever_promoted,always_promoted,marked_price_changes,promo_streak_max,promo_streak_avg,marked_price_increased,brand_name,brand_quadrant,is_premium,is_high_recognition,is_branded,is_house_brand,import_origin,is_import,has_health_claim,has_freshness_claim,name_length,unit_type,pack_count,uncertain_pack_count,size_ml,size_g,ln_pack_size,price_per_100ml,price_per_100g,ln_price_per_unit,marked_price_per_100ml,marked_price_per_100g,ln_marked_price_per_unit
Creamer đặc sữa pha chế Nutimilk hộp 1284g,Hộp,Sữa Đặc,Sữa Tươi,72300.0,72300.0,49,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Nutimilk,local_value,0,0,1,0,domestic,0,0,0,8,count,1,False,,1284.0,7.157735484249907,,5630.841121495328,8.636014109885041,,5630.841121495328,8.636014109885041
Creamer đặc sữa pha chế Nutimilk hộp 380g,Hộp,Sữa Đặc,Sữa Tươi,21400.0,21400.0,49,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Nutimilk,local_value,0,0,1,0,domestic,0,0,0,8,count,1,False,,380.0,5.940171252720432,,5631.578947368422,8.636145134277603,,5631.578947368422,8.636145134277603
Creamer đặc sữa pha chế Nutimilk lon 380g,Lon,Sữa Đặc,Sữa Tươi,21400.0,21400.0,49,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Nutimilk,local_value,0,0,1,0,domestic,0,0,0,8,count,1,False,,380.0,5.940171252720432,,5631.578947368422,8.636145134277603,,5631.578947368422,8.636145134277603
DUTCH LADY STT cao khỏe có đường 170ml,Thùng,Sữa tươi,Sữa Tươi,370800.0,370800.0,50,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Dutch Lady,household_giant,0,1,1,0,domestic,0,0,0,8,unknown,1,True,170.0,,5.135798437050262,218117.64705882352,,12.292789861611666,218117.64705882352,,12.292789861611666
Kem sữa Whipping cream AVonMorehộp 1L,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,172628.33333333334,188000.0,60,0.55,0.1486621534493875,0.0829664229035317,3,0.1997447351627312,1,0,1,19,16.5,0,Avonmore,niche_professional,1,0,1,0,domestic,0,0,0,6,count,1,False,1000.0,,6.907755278982137,17262.833333333336,,9.756311107210095,18800.0,,9.84161214881804
Kem sữa có đường tiệt trùng dạng xịt Paysan Breton chai 250g,Chai,Bơ Sữa - Phô Mai,Sữa Tươi,146500.0,146500.0,49,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Paysan Breton,niche_professional,1,0,1,0,domestic,0,0,0,12,count,1,False,,250.0,5.521460917862246,,58600.0,10.978489975565104,,58600.0,10.978489975565104
Kem sữa tươi Emborg whipped cream 250ml,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,130253.33333333331,138000.0,60,0.4,0.1403381642512077,0.0747148131272666,3,0.1937716262975779,1,0,1,13,12.0,0,Emborg,niche_professional,1,0,1,0,domestic,0,0,1,7,count,1,False,250.0,,5.521460917862246,52101.33333333333,,10.860945819224614,55200.0,,10.918718232265187
Kem sữa tươi whipping cream Anchor hộp 1L,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,195189.6551724138,204500.0,58,0.396551724137931,0.1148081216115658,0.0610518004984828,3,0.152112676056338,1,0,1,14,11.5,0,Anchor,niche_professional,1,0,1,0,Úc,1,0,1,8,count,1,False,1000.0,,6.907755278982137,19518.96551724138,,9.87914186251978,20450.0,,9.925738161470948
Kem sữa tươi đánh tiệt trùng Anchor hộp 250ml,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,82614.81481481482,84000.0,54,0.2037037037037037,0.0809523809523809,0.0334616024122449,2,0.0880829015544042,1,0,1,7,5.5,0,Anchor,niche_professional,1,0,1,0,Úc,1,0,1,9,count,1,False,250.0,,5.521460917862246,33045.92592592593,,10.405653567664089,33600.0,,10.422281345951296
"Kem đặc có đường Vinamilk Ngôi Sao Phương Nam hộp 1,284kg",Hộp,Sữa Đặc,Sữa Tươi,68145.45454545454,70000.0,55,0.6181818181818182,0.0428571428571428,0.0215851585594246,2,0.0447761194029849,1,0,1,14,11.333333333333334,0,Vinamilk,household_giant,0,1,1,0,domestic,0,0,0,11,count,1,False,,1284.0,7.157735484249907,,5307.2783913905405,8.576834438846165,,5451.71339563863,8.60368522276968
Lof Malto Malt Mint sữa lúa.m 180ml,Thùng,Sữa Hạt - Sữa Đậu,Sữa Tươi,358800.0,358800.0,55,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Lof,niche_professional,1,0,1,0,domestic,0,0,0,7,unknown,1,True,180.0,,5.19295685089021,199333.3333333333,,12.202733744264659,199333.3333333333,,12.202733744264659
Lof Malto Sữa lúa mach Socola 180ml,Thùng,Sữa Hạt - Sữa Đậu,Sữa Tươi,358800.0,358800.0,62,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Lof,niche_professional,1,0,1,0,domestic,0,0,0,7,unknown,1,True,180.0,,5.19295685089021,199333.3333333333,,12.202733744264659,199333.3333333333,,12.202733744264659
Lon Ensure Gold Green Health Đạm thực vật 850g,Lon,Sữa Bột,Sữa Tươi,982500.0,982500.0,49,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Ensure,prestige_leader,1,1,1,0,domestic,0,0,0,9,count,1,False,,850.0,6.745236349484363,,115588.23529411765,11.657789459229283,,115588.23529411765,11.657789459229283
Lốc 3 hộp sữa 9 loại hạt Vinamilk Super Nut 180ml,Gói 4,Sữa tươi,Sữa Tươi,49557.692307692305,52500.0,52,0.5769230769230769,0.0971428571428571,0.0513386340176594,2,0.1075949367088606,1,0,1,14,10.0,0,Vinamilk,household_giant,0,1,1,0,domestic,0,0,0,11,count,3,False,180.0,,5.19295685089021,9177.350427350426,,9.124493817482845,9722.22222222222,,9.182169495009486
Lốc 3 hộp sữa hạt hạnh nhân Degree 127 180ml,Gói 3,Sữa Hạt - Sữa Đậu,Sữa Tươi,90522.64150943396,95900.0,53,0.3584905660377358,0.1564129301355578,0.0802251786671136,2,0.1854140914709519,1,0,1,19,19.0,0,,,0,0,0,0,domestic,0,0,0,10,count,3,False,180.0,,5.19295685089021,16763.45213137666,,9.72695632725207,17759.25925925926,,9.784662307301302
Lốc 3 hộp sữa óc chó Degrees 137 truyền thống 180ml,Gói 3,Sữa Hạt - Sữa Đậu,Sữa Tươi,99123.72881355933,109900.0,59,0.559322033898305,0.1753108886866848,0.0987235942221235,3,0.1983621474067334,1,0,1,33,33.0,0,Degrees,prestige_leader,1,1,1,0,domestic,0,0,0,11,count,3,False,180.0,,5.19295685089021,18356.24607658506,,9.817725181209628,20351.85185185185,,9.920927186821483
Lốc 4 chai sữa chua uống Probi light ít đường 130ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,34026.666666666664,36900.0,45,0.6,0.1297801866907557,0.0697645118651132,3,0.1531249999999999,1,0,1,12,9.0,0,Probi,local_value,0,0,1,0,domestic,0,1,0,11,count,4,False,130.0,,4.867534450455582,6543.589743589743,,8.786241184323126,7096.153846153846,,8.867308204441237
Lốc 4 chai sữa chua uống Topkid Phô mai tự nhiên 90ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,22832.20338983051,23900.0,59,0.3559322033898305,0.1255230125523012,0.0634504743660212,2,0.1435406698564594,1,0,1,21,21.0,0,Topkid,local_value,0,0,1,0,domestic,0,0,1,12,count,4,False,90.0,,4.499809670330265,6342.278719397364,,8.754993402318876,6638.888888888889,,8.800699892457537
Lốc 4 chai sữa chua uống có đường Probi Vinamilk 130ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,33530.188679245286,36900.0,53,0.7169811320754716,0.1273712737127371,0.0637469898195188,2,0.1459627329192547,1,0,1,15,12.666666666666666,0,Vinamilk,household_giant,0,1,1,0,domestic,0,0,0,11,count,4,False,130.0,,4.867534450455582,6448.1132075471705,,8.771542841034075,7096.153846153846,,8.867308204441237
Lốc 4 hộp Milo sữa lúa mạch ít đường 115ml,Gói 4,Sữa Hạt - Sữa Đậu,Sữa Tươi,20661.224489795917,20900.0,49,0.2653061224489796,0.0430622009569378,0.019430801753215,2,0.0449999999999999,1,0,1,13,13.0,0,Milo,household_giant,0,1,1,0,domestic,0,1,0,10,count,4,False,115.0,,4.74493212836325,4491.570541259983,,8.40995770604743,4543.478260869566,,8.421448134457853
