subcategory,cluster
Bánh Snack,2
Bánh Xốp - Bánh Quy,2
Bánh bao,2
Bánh mì,1
Bơ Sữa - Phô Mai,2
Bột Các Loại,2
Cháo,2
Chăm Sóc Cá Nhân Cho Bé,2
Chả Giò,0
Cá - Bò Viên,2
"Củ, Quả",0
Hạt - Trái Cây Sấy Khô,2
Hải Sản Đông Lạnh,0
Kim chi,0
Kẹo - Chocolate,0
Miến - Hủ Tíu - Bánh Canh,2
Mì,2
Phở - Bún,2
Rau Lá,0
Rong Biển - Tảo Biển,2
Sữa Bột,0
Sữa Bột - Sữa Dinh Dưỡng,2
Sữa Chua - Váng Sữa,2
Sữa Hạt - Sữa Đậu,0
Sữa Tắm - Gội Cho Bé,0
Sữa tươi,1
Sữa đặc,0
Thịt Đông Lạnh,1
Thực Phẩm Chay,2
Thực Phẩm Chế Biến Khác,0
Thực Phẩm Đóng Hộp,2
Thực Phẩm Đông Lạnh Khác,2
Trái cây tươi,1
Trứng,0
Tã - Bỉm,0
Xúc xích - Thịt Nguội,2
Đậu hũ,2
