date,parent_category,generic_final,branded_final,gap_abs_final,gap_pct_final,branded_marked,generic_marked,gap_abs_marked,gap_pct_marked
2025-12-23,Sữa Tươi,51500.0,35200.0,-16300.0,-31.650485436893206,36900.0,51500.0,-14600.0,-28.349514563106798
2025-12-23,Thực Phẩm Chế Biến,33450.0,39500.0,6050.0,18.086696562032888,41300.0,34500.0,6800.0,19.710144927536234
2025-12-23,Thực Phẩm Khô,46900.0,50000.0,3100.0,6.609808102345416,51000.0,48050.0,2950.0,6.139438085327783
2025-12-23,Thực Phẩm Đông Lạnh,75750.0,74500.0,-1250.0,-1.65016501650165,76900.0,79850.0,-2950.0,-3.6944270507201002
2025-12-23,Trứng - Đậu Hũ,16050.0,51900.0,35850.0,223.36448598130843,51900.0,16050.0,35850.0,223.36448598130843
2025-12-24,Chăm Sóc Bé,60900.0,79900.0,19000.0,31.198686371100166,85400.0,129000.0,-43600.0,-33.798449612403104
2025-12-24,Gia Vị,92400.0,43750.0,-48650.0,-52.65151515151515,46050.0,92400.0,-46350.0,-50.16233766233766
2025-12-24,Mì - Thực Phẩm Ăn Liền,27200.0,19500.0,-7700.0,-28.308823529411764,25600.0,33900.0,-8300.0,-24.48377581120944
2025-12-24,Rau - Củ - Trái Cây,35860.0,46900.0,11040.0,30.78639152258784,46900.0,37000.0,9900.0,26.756756756756754
2025-12-24,Sữa Tươi,26600.0,34600.0,8000.0,30.075187969924812,38500.0,30750.0,7750.0,25.203252032520325
2025-12-24,Thực Phẩm Chế Biến,28600.0,52100.0,23500.0,82.16783216783216,59000.0,33000.0,26000.0,78.78787878787878
2025-12-24,Thực Phẩm Khô,48050.0,51000.0,2950.0,6.139438085327783,51000.0,50300.0,700.0,1.3916500994035785
2025-12-24,Thực Phẩm Đông Lạnh,74000.0,74500.0,500.0,0.6756756756756757,76900.0,77700.0,-800.0,-1.0296010296010296
2025-12-24,Trứng - Đậu Hũ,16050.0,51900.0,35850.0,223.36448598130843,51900.0,16050.0,35850.0,223.36448598130843
2025-12-25,Chăm Sóc Bé,60900.0,79900.0,19000.0,31.198686371100166,85400.0,129000.0,-43600.0,-33.798449612403104
