date,overall_average_index,staples_average_index,other_food_average_index
2025-12-18,1.0,1.0,1.0
2025-12-19,0.9985945126076777,1.0,0.998494120651083
2025-12-20,0.9984260337255288,1.0,0.9983136075630666
2025-12-22,0.9985632048467614,1.0,0.9984605766215301
2025-12-23,0.9967851244267271,1.0,0.9965554904572075
2025-12-24,0.9970907595797759,1.0,0.9968829566926171
2025-12-25,0.9973453000757765,1.0,0.9971556786526177
2025-12-26,0.997108753856106,1.0,0.9969022362743993
2025-12-27,0.9963002944494634,1.0,0.9960360297672822
2025-12-28,0.9963002944494634,1.0,0.9960360297672822
2025-12-29,0.9963166891745459,1.0,0.9960535955441563
2025-12-30,0.9919089949986505,,0.9919089949986505
2025-12-31,0.9924145972135695,1.0,0.9918727827288245
2026-01-01,1.0013088627329692,1.0,1.0014628465839068
2026-01-02,0.994419272425556,1.0,0.9940206490273813
2026-01-03,0.9944443963827553,1.0,0.9940475675529521
2026-01-04,0.9912777936182833,1.0,0.9901148327673878
2026-01-05,0.9948656941125733,1.0,0.9944989579777571
2026-01-06,0.9785556396427202,0.8992488526117279,0.9838427587781197
2026-01-07,0.9887819061062638,0.8992488526117279,0.9947507763392329
2026-01-08,0.9912571594878787,0.8992488526117279,0.9973910466129555
2026-01-09,0.9906965120274034,0.8992488526117279,0.996793022655115
2026-01-10,0.9905721209946171,0.8992488526117279,0.9966603388868097
2026-01-11,0.9908722064177787,0.8992488526117279,0.9967833905342982
2026-01-12,0.9912422024798907,0.8992488526117279,0.9971772573100949
2026-01-13,0.9905766463526997,0.8992488526117279,0.9964687620779238
2026-01-14,0.9907809360712834,0.8992488526117279,0.9966862317783516
2026-01-15,0.9896142309289218,0.8992488526117279,0.9954442553364827
2026-01-16,0.989733671865881,0.8992488526117279,0.9955714021403426
2026-01-17,0.989733671865881,0.8992488526117279,0.9955714021403426
2026-01-18,0.9899045925673854,0.8992488526117279,0.9963800025642182
2026-01-19,0.9885324412550972,0.8992488526117279,0.9990363928601996
2026-01-20,0.9648338229836328,0.8112200982891143,0.9747443858671501
2026-01-21,0.9719249984305184,0.8362906393702794,0.9806756022408564
2026-01-22,0.9729233227926668,0.8362906393702794,0.9817383346263694
2026-01-23,0.9722952049864095,0.8362906393702794,0.981069693090676
2026-01-24,0.9723241655049633,0.8362906393702794,0.9811005220297815
2026-01-25,0.9711130690305652,,0.9711130690305654
2026-01-26,0.972820949261731,0.8362906393702794,0.9816293563515021
2026-01-27,0.9734092153756466,0.8362906393702794,0.9822555751179284
2026-01-28,0.9734092153756466,0.8362906393702794,0.9822555751179284
2026-01-29,0.9731973770796087,0.8362906393702794,0.9820300698350494
2026-01-30,0.9733519240772545,0.8362906393702794,0.9821945876067367
2026-01-31,0.9731004560556453,0.8362906393702794,0.9819268958417979
2026-02-01,0.9693297287258283,0.8362906393702794,0.9791844760854985
2026-02-02,0.9730473373651218,0.8362906393702794,0.9818703501389826
