date,parent_category,brand_quadrant,quadrant_median,generic_median,gap_abs,gap_pct
2025-12-18,Chăm Sóc Bé,household_giant,34400.0,60900.0,-26500.0,-43.51395730706076
2025-12-18,Chăm Sóc Bé,local_value,67000.0,60900.0,6100.0,10.016420361247947
2025-12-18,Chăm Sóc Bé,niche_professional,189500.0,60900.0,128600.0,211.16584564860426
2025-12-18,Chăm Sóc Bé,prestige_leader,123000.0,60900.0,62100.0,101.9704433497537
2025-12-18,Gia Vị,household_giant,41050.0,92400.0,-51350.0,-55.573593073593074
2025-12-18,Gia Vị,local_value,28800.0,92400.0,-63600.0,-68.83116883116884
2025-12-18,Gia Vị,niche_professional,88950.0,92400.0,-3450.0,-3.7337662337662336
2025-12-18,Mì - Thực Phẩm Ăn Liền,household_giant,23350.0,27200.0,-3850.0,-14.154411764705882
2025-12-18,Mì - Thực Phẩm Ăn Liền,niche_professional,12200.0,27200.0,-15000.0,-55.14705882352941
2025-12-18,Rau - Củ - Trái Cây,local_value,47900.0,36320.0,11580.0,31.883259911894275
2025-12-18,Rau - Củ - Trái Cây,niche_professional,46900.0,36320.0,10580.0,29.129955947136565
2025-12-18,Sữa Tươi,household_giant,29650.0,39000.0,-9350.0,-23.974358974358974
2025-12-18,Sữa Tươi,local_value,29900.0,39000.0,-9100.0,-23.333333333333332
2025-12-18,Sữa Tươi,niche_professional,76200.0,39000.0,37200.0,95.38461538461539
2025-12-18,Sữa Tươi,prestige_leader,38600.0,39000.0,-400.0,-1.0256410256410255
2025-12-18,Thực Phẩm Chế Biến,household_giant,49200.0,34950.0,14250.0,40.772532188841204
2025-12-18,Thực Phẩm Chế Biến,local_value,31900.0,34950.0,-3050.0,-8.726752503576538
2025-12-18,Thực Phẩm Chế Biến,niche_professional,122700.0,34950.0,87750.0,251.07296137339054
2025-12-18,Thực Phẩm Khô,household_giant,29000.0,45000.0,-16000.0,-35.55555555555556
2025-12-18,Thực Phẩm Khô,local_value,56800.0,45000.0,11800.0,26.222222222222225
2025-12-18,Thực Phẩm Khô,niche_professional,81300.0,45000.0,36300.0,80.66666666666666
2025-12-18,Thực Phẩm Khô,prestige_leader,145000.0,45000.0,100000.0,222.22222222222223
2025-12-18,Thực Phẩm Đông Lạnh,household_giant,74500.0,77700.0,-3200.0,-4.1184041184041185
2025-12-18,Thực Phẩm Đông Lạnh,local_value,59000.0,77700.0,-18700.0,-24.066924066924066
2025-12-18,Thực Phẩm Đông Lạnh,niche_professional,99650.0,77700.0,21950.0,28.24967824967825
2025-12-18,Trứng - Đậu Hũ,household_giant,60100.0,16050.0,44050.0,274.45482866043614
2025-12-18,Trứng - Đậu Hũ,local_value,27000.0,16050.0,10950.0,68.22429906542055
2025-12-19,Chăm Sóc Bé,household_giant,34400.0,60900.0,-26500.0,-43.51395730706076
2025-12-19,Chăm Sóc Bé,local_value,67000.0,60900.0,6100.0,10.016420361247947
2025-12-19,Chăm Sóc Bé,niche_professional,189500.0,60900.0,128600.0,211.16584564860426
2025-12-19,Chăm Sóc Bé,prestige_leader,123000.0,60900.0,62100.0,101.9704433497537
2025-12-19,Gia Vị,household_giant,40400.0,92400.0,-52000.0,-56.27705627705628
2025-12-19,Gia Vị,local_value,30800.0,92400.0,-61600.0,-66.66666666666666
2025-12-19,Gia Vị,niche_professional,88950.0,92400.0,-3450.0,-3.7337662337662336
2025-12-19,Mì - Thực Phẩm Ăn Liền,household_giant,23350.0,27200.0,-3850.0,-14.154411764705882
2025-12-19,Mì - Thực Phẩm Ăn Liền,niche_professional,12200.0,27200.0,-15000.0,-55.14705882352941
2025-12-19,Rau - Củ - Trái Cây,local_value,47900.0,39900.0,8000.0,20.050125313283207
2025-12-19,Rau - Củ - Trái Cây,niche_professional,46900.0,39900.0,7000.0,17.543859649122805
2025-12-19,Sữa Tươi,household_giant,31250.0,34250.0,-3000.0,-8.75912408759124
2025-12-19,Sữa Tươi,local_value,32200.0,34250.0,-2050.0,-5.985401459854015
2025-12-19,Sữa Tươi,niche_professional,71500.0,34250.0,37250.0,108.75912408759123
2025-12-19,Sữa Tươi,prestige_leader,35200.0,34250.0,950.0,2.7737226277372264
2025-12-19,Thực Phẩm Chế Biến,household_giant,52800.0,34950.0,17850.0,51.072961373390555
2025-12-19,Thực Phẩm Chế Biến,local_value,33050.0,34950.0,-1900.0,-5.436337625178827
2025-12-19,Thực Phẩm Chế Biến,niche_professional,127250.0,34950.0,92300.0,264.09155937052935
2025-12-19,Thực Phẩm Khô,household_giant,29000.0,45000.0,-16000.0,-35.55555555555556
2025-12-19,Thực Phẩm Khô,local_value,56800.0,45000.0,11800.0,26.222222222222225
2025-12-19,Thực Phẩm Khô,niche_professional,81300.0,45000.0,36300.0,80.66666666666666
2025-12-19,Thực Phẩm Khô,prestige_leader,145000.0,45000.0,100000.0,222.22222222222223
2025-12-19,Thực Phẩm Đông Lạnh,household_giant,74500.0,77700.0,-3200.0,-4.1184041184041185
2025-12-19,Thực Phẩm Đông Lạnh,local_value,59000.0,77700.0,-18700.0,-24.066924066924066
2025-12-19,Thực Phẩm Đông Lạnh,niche_professional,99650.0,77700.0,21950.0,28.24967824967825
2025-12-19,Trứng - Đậu Hũ,household_giant,60100.0,16050.0,44050.0,274.45482866043614
