date,overall_average_index,staples_average_index,other_food_average_index
2025-12-18,1.0,1.0,1.0
2025-12-19,0.9985945126076777,1.0,0.998494120651083
2025-12-20,0.9985023433525188,1.0,0.9983953678776987
2025-12-22,0.9986395144737517,1.0,0.9985423369361625
2025-12-23,0.9968614340537172,1.0,0.9966372507718398
2025-12-24,0.9971670692067661,1.0,0.9969647170072494
2025-12-25,0.9974216097027664,1.0,0.9972374389672497
2025-12-26,0.997185063483096,1.0,0.9969839965890314
2025-12-27,0.9963766040764536,1.0,0.9961177900819145
2025-12-28,0.9963766040764536,1.0,0.9961177900819145
2025-12-29,0.996392998801536,1.0,0.9961353558587885
2025-12-30,0.9920043820323882,,0.992004382032388
2025-12-31,0.9924909068405596,1.0,0.9919545430434568
2026-01-01,1.0013929770829946,1.0,1.0015568567398174
2026-01-02,0.9944725448472386,1.0,0.9940777266220414
2026-01-03,0.9944976688044379,1.0,0.9941046451476121
2026-01-04,0.9912371397265645,1.0,0.9900687583567731
2026-01-05,0.994918966534256,1.0,0.9945560355724172
2026-01-06,0.9786351876928235,0.8992488526117279,0.9839276100315633
2026-01-07,0.9888709846908031,0.8992488526117279,0.9948457934960749
2026-01-08,0.9913462380724183,0.8992488526117279,0.9974860637697976
2026-01-09,0.9907855906119427,0.8992488526117279,0.9968880398119571
2026-01-10,0.9906611995791564,0.8992488526117279,0.9967553560436517
2026-01-11,0.9909578438060294,0.8992488526117279,0.9968745529153391
2026-01-12,0.9913278398681413,0.8992488526117279,0.9972684196911358
2026-01-13,0.9906622837409503,0.8992488526117279,0.9965599244589647
2026-01-14,0.9908569529181409,0.8992488526117279,0.9967671529379095
2026-01-15,0.9896893291802518,0.8992488526117279,0.9955241986362856
2026-01-16,0.989808770117211,0.8992488526117279,0.9956513454401454
2026-01-17,0.989808770117211,0.8992488526117279,0.9956513454401454
2026-01-18,0.9899872006438483,0.8992488526117279,0.9964685112175713
2026-01-19,0.9884865995831336,0.8992488526117279,0.9989851580503576
2026-01-20,0.9649050552580456,0.8112200982891143,0.9748202137721702
2026-01-21,0.9719953354751111,0.8362906393702794,0.9807504771592939
2026-01-22,0.9729936598372594,0.8362906393702794,0.9818132095448069
2026-01-23,0.9723655420310023,0.8362906393702794,0.9811445680091135
2026-01-24,0.972394502549556,0.8362906393702794,0.9811753969482191
2026-01-25,0.9713415778901909,,0.9713415778901907
2026-01-26,0.9728912863063238,0.8362906393702794,0.9817042312699397
2026-01-27,0.9734795524202394,0.8362906393702794,0.9823304500363659
2026-01-28,0.9734795524202394,0.8362906393702794,0.9823304500363659
2026-01-29,0.9732677141242015,0.8362906393702794,0.982104944753487
2026-01-30,0.973422261121847,0.8362906393702794,0.982269462525174
2026-01-31,0.973170793100238,0.8362906393702794,0.9820017707602353
2026-02-01,0.9694097674317442,0.8362906393702794,0.9792704435844454
2026-02-02,0.9731176744097145,0.8362906393702794,0.9819452250574201
2026-02-03,0.9412022377773595,0.8362906393702794,0.9479707279971711
2026-02-04,0.9609669709044037,0.8362906393702794,0.9690106051969278
2026-02-05,0.9607720660480358,0.8362906393702794,0.9688031258336974
2026-02-06,0.9604116929071995,0.8362906393702794,0.9684195028128073
2026-02-07,0.9602285421047214,0.8362906393702794,0.9682245358295242
2026-02-08,0.957533555845578,0.8362906393702794,0.9653556794891457
2026-02-09,0.9577765431591121,0.8362906393702794,0.9656143434035529
2026-02-10,0.9554016597138979,0.8362906393702794,0.9630862416715507
2026-02-11,0.9553851534173502,0.8362906393702794,0.9630686704526449
2026-02-12,0.9556573066262228,0.8362906393702794,0.9633583819330577
2026-02-13,0.9549906448752471,0.8362906393702794,0.9626487097465352
2026-02-14,0.9549906448752471,0.8362906393702794,0.9626487097465352
2026-02-15,0.9544768301691697,0.8362906393702794,0.9621017457045821
2026-02-16,0.9545408530809091,0.8362906393702794,0.9621698991267562
2026-02-17,0.9558137388713493,0.8362906393702794,0.9635249065810958
2026-02-18,0.9638602897732356,0.8362906393702794,0.9711499840819763
2026-02-19,0.9638602897732356,0.8362906393702794,0.9711499840819763
2026-02-20,0.9608886315546183,0.8362906393702794,0.968008516822295
2026-02-21,0.9608886315546183,0.8362906393702794,0.968008516822295
2026-02-22,0.9608886315546183,0.8362906393702794,0.968008516822295
2026-02-23,0.9611866964476643,0.8362906393702794,0.9683236139949437
2026-02-24,0.9520501008173725,0.8404726876546984,0.9584259529980966
2026-02-25,0.980521972610411,0.8995326384152034,0.9851499345644228
2026-02-26,0.9801852419677874,0.8995326384152034,0.9847939621707925
2026-02-27,0.9796660169774886,0.8995326384152034,0.9842450671810479
2026-02-28,0.9796660169774886,0.8995326384152034,0.9842450671810479
2026-03-01,0.980022267042273,0.8995326384152034,0.9846216743923916
2026-03-02,0.9830945982665972,0.8995326384152034,0.9878695674009629
2026-03-03,0.9830945982665972,0.8995326384152034,0.9878695674009629
2026-03-04,0.9776367108077796,0.872049160480231,0.9836702851122112
2026-03-05,0.9713156527592814,0.872049160480231,0.9769880237466558
2026-03-06,0.9700817888176866,0.872049160480231,0.9758484140140077
2026-03-07,0.9708557286473768,0.872049160480231,0.9765018182569283
