product_name,subcategory,parent_category
Lốc 3 hộp sữa 9 loại hạt Vinamilk Super Nut 180ml,Sữa tươi,Sữa các loại
Sữa tiệt trùng vị sô cô la Active 20+ Dutch Lady gói 220ml,Sữa tươi,Sữa các loại
Sữa chua uống lên men Bentagen hương dâu 300ml,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 6 hộp sữa đậu nành Vinasoy Fami nguyên chất ít đường 200ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Sữa chua uống men sống Probi Vinamilk lốc 5 chai x 65ml,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 4 hộp sữa tươi tiệt trùng ít đường Vinamilk 180ml,Sữa tươi,Sữa các loại
Bơ nhạt President vỉ 10 viên x 10g,Bơ Sữa - Phô Mai,Sữa các loại
Sữa tươi tiệt trùng hương dâu Vinamilk lốc 4 hộp x 180ml,Sữa tươi,Sữa các loại
Sữa tươi tiệt trùng sô cô la Vinamilk lốc 4 hộp x 180ml,Sữa tươi,Sữa các loại
Sữa tươi tiệt trùng Vinamilk có đường hộp 1 lít,Sữa tươi,Sữa các loại
Lốc 4 hộp sữa tươi tiệt trùng Vinamilk có đường 180ml,Sữa tươi,Sữa các loại
Sữa tươi tiệt trùng Vinamilk không đường hộp 1 lít,Sữa tươi,Sữa các loại
Thùng 36 hộp sữa đậu nành nguyên chất Fami 200ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Phô Mai Con Bò Cười 16 miếng 224g,Bơ Sữa - Phô Mai,Sữa các loại
Sữa tươi tiệt trùng Vinamilk ít đường hộp 1 lít,Sữa tươi,Sữa các loại
Sữa dinh dưỡng Có Đường Vinamilk ADM - Lốc 4 Hộp 110ml,Sữa tươi,Sữa các loại
Sữa tiệt trùng Vinamilk hương dâu gói 220ml,Sữa tươi,Sữa các loại
Sữa tiệt trùng Vinamilk có đường túi 220ml,Sữa tươi,Sữa các loại
Sữa tiệt trùng sô cô la Vinamilk gói 220ml,Sữa tươi,Sữa các loại
Sữa tiệt trùng Vinamilk không đường túi 220ml,Sữa tươi,Sữa các loại
Lốc 4 hộp sữa tươi tiệt trùng hương dâu Vinamilk 110ml,Sữa tươi,Sữa các loại
Lốc 4 hộp sữa tươi tiệt trùng sô cô la Vinamilk 110ml,Sữa tươi,Sữa các loại
Sữa tươi tiệt trùng Vinamilk có đường lốc 4 hộp x 110ml,Sữa tươi,Sữa các loại
Sữa tiệt trùng ít đường Vinamilk gói 220ml,Sữa tươi,Sữa các loại
Sữa tươi tiệt trùng Vinamilk ít đường lốc 4 hộp x 110ml,Sữa tươi,Sữa các loại
Sữa đặc có đường Ông Thọ đỏ lon 380g,Sữa Đặc,Sữa các loại
Lốc 4 hộp sữa uống lúa mạch Milo Nestlé 180ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Lốc 8 hộp sữa lúa mạch Nestle Milo 180ml,Sữa Hạt - Sữa Đậu,Sữa các loại
