product_name,subcategory,parent_category
Dưa hấu Hắc Mỹ Nhân (Long An),Trái cây tươi,Rau - Củ - Trái Cây
Cần tây lớn WinEco,Rau Lá,Rau - Củ - Trái Cây
Dưa lưới sạch Đế Vương King size ruột cam,Trái cây tươi,Rau - Củ - Trái Cây
Cải bó xôi WinEco gói 300g,Rau Lá,Rau - Củ - Trái Cây
Cải cúc WinEco gói 300g,Rau Lá,Rau - Củ - Trái Cây
Giá đỗ WinEco 300g,Rau Lá,Rau - Củ - Trái Cây
Rau mầm cải xanh WinEco 100g,Rau Lá,Rau - Củ - Trái Cây
Rau mầm cải ngọt WinEco 100g,Rau Lá,Rau - Củ - Trái Cây
Hẹ lá WinEco 100g,Rau Lá,Rau - Củ - Trái Cây
Hành lá WinEco gói 100g,Rau Lá,Rau - Củ - Trái Cây
Xà lách lolo xanh WinEco 300g,Rau Lá,Rau - Củ - Trái Cây
Dưa lưới ruột cam WinEco,Trái cây tươi,Rau - Củ - Trái Cây
Xà lách mỡ WinEco 300g,Rau Lá,Rau - Củ - Trái Cây
Xà lách iceberg WinEco 300g,Rau Lá,Rau - Củ - Trái Cây
Táo Ambrosia Mỹ size 88-113,Trái cây tươi,Rau - Củ - Trái Cây
Táo Rockit hộp 3 - 4 trái,Trái cây tươi,Rau - Củ - Trái Cây
Táo Fuji Mỹ,Trái cây tươi,Rau - Củ - Trái Cây
Cải thảo,Rau Lá,Rau - Củ - Trái Cây
Củ đậu,"Củ, Quả",Rau - Củ - Trái Cây
Su su,"Củ, Quả",Rau - Củ - Trái Cây
Bí đỏ tròn,"Củ, Quả",Rau - Củ - Trái Cây
Khoai tây,"Củ, Quả",Rau - Củ - Trái Cây
Củ cải trắng,Rau Lá,Rau - Củ - Trái Cây
Bí xanh,"Củ, Quả",Rau - Củ - Trái Cây
Cà tím tròn,"Củ, Quả",Rau - Củ - Trái Cây
Dưa hấu giống nhật,Trái cây tươi,Rau - Củ - Trái Cây
Khoai lang giống nhật,"Củ, Quả",Rau - Củ - Trái Cây
Quả bầu,"Củ, Quả",Rau - Củ - Trái Cây
Nấm kim châm 150g,"Củ, Quả",Rau - Củ - Trái Cây
Búp măng tươi Kim Bôi gói 500g,"Củ, Quả",Rau - Củ - Trái Cây
Măng củ thái sẵn Kim Bôi gói 500g,"Củ, Quả",Rau - Củ - Trái Cây
Măng chua thái sẵn Kim Bôi gói 300g,"Củ, Quả",Rau - Củ - Trái Cây
Măng nứa tươi Kim Bôi túi 500g,"Củ, Quả",Rau - Củ - Trái Cây
Măng lưỡi lợn khô nấu ngay Kim Bôi 500g,"Củ, Quả",Rau - Củ - Trái Cây
Măng nứa khô nấu ngay Kim Bôi gói 500g,"Củ, Quả",Rau - Củ - Trái Cây
Măng lay Tây Bắc Kim Bôi gói 300g,"Củ, Quả",Rau - Củ - Trái Cây
Măng ống khô nấu ngay Kim Bôi gói 500g,"Củ, Quả",Rau - Củ - Trái Cây
Măng trúc quân thử Kim Bôi 300g,"Củ, Quả",Rau - Củ - Trái Cây
Măng giang đặc sản Kim Bôi gói 300g,"Củ, Quả",Rau - Củ - Trái Cây
Măng đắng đặc sản Kim Bôi gói 500g,"Củ, Quả",Rau - Củ - Trái Cây
Nấm Bunashimeji Biovegi hộp 100g,"Củ, Quả",Rau - Củ - Trái Cây
