date,Nước Rửa Chén,Nước Giặt,Bug catcher / Detergents,Nước Tẩy Rửa,Nước Xả,Nước Lau Sàn - Lau Kính,Bình Xịt Côn Trùng
2025-12-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-12-19,1.0156609594577393,1.0,1.0,1.0,1.0,1.0,1.0
2025-12-20,1.0812565904986438,1.0,1.0208582066224103,1.0509511417458959,1.0,1.042570663701984,1.0
2025-12-22,1.0812565904986438,1.0,1.0208582066224103,1.0509511417458959,1.0,1.042570663701984,1.0
2025-12-23,1.0812565904986438,1.0,1.0208582066224103,1.0509511417458959,1.0,1.042570663701984,1.0
2025-12-24,1.0812565904986438,1.0,1.0208582066224103,1.0509511417458959,1.0,1.042570663701984,1.0
2025-12-25,1.0812565904986438,1.0,1.0208582066224103,1.0509511417458959,1.0,1.042570663701984,1.0
2025-12-26,1.0812565904986438,1.0,1.0208582066224103,1.0509511417458959,1.0,1.042570663701984,1.0
2025-12-27,1.0812565904986438,1.0,1.0208582066224103,1.0509511417458959,1.0,1.042570663701984,1.0
2025-12-28,1.0812565904986438,1.0,1.0208582066224103,1.0509511417458959,1.0,1.042570663701984,1.0
2025-12-29,1.0812565904986438,1.0,1.0208582066224103,1.0509511417458959,1.0,1.042570663701984,1.0
2025-12-30,1.0812565904986438,1.0,1.0208582066224103,1.0509511417458959,1.0,1.042570663701984,1.0
2025-12-31,1.0812565904986438,1.0,1.0208582066224103,1.0509511417458959,1.0,1.042570663701984,1.0
2026-01-01,1.0993996436727471,1.0588400981256814,1.0208582066224103,1.0509511417458959,0.9973436815539256,1.042570663701984,1.0
2026-01-03,1.0993996436727471,1.0588400981256814,1.0208582066224103,1.0509511417458959,0.9973436815539256,1.042570663701984,1.0
2026-01-04,1.0993996436727471,1.0588400981256814,1.0208582066224103,1.0509511417458959,0.9973436815539256,1.042570663701984,1.0
2026-01-05,1.0993996436727471,1.0588400981256814,1.0208582066224103,1.0509511417458959,0.9973436815539256,1.042570663701984,1.0
2026-01-06,1.0442489996673725,1.043592686732244,1.061966590781702,1.0078629243140846,0.9685501197072758,1.041490963773144,1.0
2026-01-07,1.1067367102844294,1.0806410771321078,1.061966590781702,1.0078629243140846,1.0140860863420922,1.041490963773144,1.0
2026-01-08,1.1067367102844294,1.0806410771321078,1.061966590781702,1.0078629243140846,1.0140860863420922,1.041490963773144,1.0
