date,Sữa tươi,Sữa Hạt - Sữa Đậu,Bơ Sữa - Phô Mai,Sữa Chua - Váng Sữa,Sữa Đặc,Sữa Bột
2025-12-18,1.0,1.0,1.0,1.0,1.0,1.0
2025-12-19,1.0,1.0,1.0,1.0,1.0,1.0
2025-12-20,1.0,1.0,1.0119342600846777,1.0,1.0,1.0
2025-12-22,1.0,1.0,1.0119342600846777,1.0,1.0,1.0
2025-12-23,1.0,1.0,1.0119342600846777,1.0,1.0,1.0
2025-12-24,1.0,1.0,1.0119342600846777,1.0,1.0,1.0
2025-12-25,1.0,1.0,1.0119342600846777,1.0,1.0,1.0
2025-12-26,1.0,1.0,1.0119342600846777,1.0,1.0,1.0
2025-12-27,1.0,1.0,1.0119342600846777,1.0,1.0,1.0
2025-12-28,1.0,1.0,1.0119342600846777,1.0,1.0,1.0
2025-12-29,1.0,1.0,1.0119342600846777,1.0,1.0,1.0
2025-12-30,1.0,1.0,1.0119342600846777,1.0,1.0,1.0
2025-12-31,1.0,1.0,1.0119342600846777,1.0,1.0,1.0
2026-01-01,0.9801882078613897,1.0,1.0119342600846777,1.0,1.0,1.0
2026-01-02,0.9801882078613897,1.0,1.0119342600846777,1.0,1.0,1.0
2026-01-03,0.9801882078613897,1.0,1.0119342600846777,1.0,1.0,1.0
2026-01-05,0.9801882078613897,1.0,1.0119342600846777,1.0,1.0,1.0
2026-01-06,0.9801882078613897,1.000517298433238,1.0119342600846777,0.971092271005447,1.0,1.0
2026-01-07,0.9908134296158613,1.0370320231975128,1.0513523844447696,0.9897873892416797,1.0144854145573952,1.0102604758436797
2026-01-08,0.9908134296158613,1.0370320231975128,1.0513523844447696,0.9897873892416797,1.0144854145573952,1.0102604758436797
2026-01-09,0.9908134296158613,1.0370320231975128,1.0513523844447696,0.9897873892416797,1.0144854145573952,1.0102604758436797
2026-01-10,0.9908134296158613,1.0370320231975128,1.0513523844447696,0.9897873892416797,1.0144854145573952,1.0102604758436797
2026-01-11,0.9908134296158613,1.0370320231975128,1.0513523844447696,0.9903339686807586,1.0144854145573952,1.0102604758436797
2026-01-12,0.9908134296158613,1.0370320231975128,1.0513523844447696,0.9903339686807586,1.0144854145573952,1.0102604758436797
2026-01-13,0.9908134296158613,1.0370320231975128,1.0513523844447696,0.9903339686807586,1.0144854145573952,1.0102604758436797
2026-01-14,0.9908134296158613,1.0370320231975128,1.0513523844447696,0.9972607480946848,1.0144854145573952,1.0102604758436797
2026-01-15,0.9908134296158613,1.0370320231975128,1.0078996888900928,0.9972607480946848,1.0144854145573952,1.0102604758436797
2026-01-16,0.9908134296158613,1.0370320231975128,1.0078996888900928,0.9972607480946848,1.0144854145573952,1.0102604758436797
2026-01-17,0.9908134296158613,1.0370320231975128,1.0078996888900928,0.9972607480946848,1.0144854145573952,1.0102604758436797
2026-01-18,0.9908134296158613,1.0370320231975128,1.0078996888900928,0.9972607480946848,1.0144854145573952,1.0102604758436797
2026-01-20,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9595182822600727,1.0144854145573952,1.0102604758436797
2026-01-21,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-01-22,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-01-23,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-01-24,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-01-25,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-01-26,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-01-27,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-01-28,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-01-29,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-01-30,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-01-31,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-02-01,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-02-02,0.9727997834983348,0.9783871920941563,0.8757192438599367,0.9522818669354789,1.0144854145573952,1.0102604758436797
2026-02-03,0.9501288760516402,0.8765201829802629,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-04,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-05,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-06,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-07,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-08,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-09,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-10,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-11,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-12,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-13,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-14,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-15,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-16,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-17,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
2026-02-18,0.9575231724781733,0.8851055940490531,0.7267162680389923,0.8378210239409852,1.0144854145573952,1.0102604758436797
