date,Gia Vị
2025-12-18,1.0
2025-12-19,1.0
2025-12-20,1.0008260978592343
2025-12-22,1.0008260978592343
2025-12-23,1.0008260978592343
2025-12-24,1.0008260978592343
2025-12-25,1.0008260978592343
2025-12-26,1.0008260978592343
2025-12-27,1.0008260978592343
2025-12-28,1.0008260978592343
2025-12-29,1.0008260978592343
2025-12-30,1.0008260978592343
2025-12-31,1.0008260978592343
2026-01-02,1.015800691614832
2026-01-03,1.015800691614832
2026-01-04,1.015800691614832
2026-01-05,1.015800691614832
2026-01-06,0.9579778416371049
2026-01-07,1.0030766269128641
2026-01-08,1.0030766269128641
2026-01-09,1.0030766269128641
2026-01-10,1.0030766269128641
2026-01-11,1.003004987432737
2026-01-12,1.003004987432737
2026-01-13,1.003004987432737
2026-01-14,1.003004987432737
2026-01-15,1.003004987432737
2026-01-16,1.003004987432737
2026-01-17,1.003004987432737
2026-01-19,1.003004987432737
2026-01-20,0.9861758525617201
2026-01-21,0.9941762694883347
2026-01-22,0.9941762694883347
2026-01-23,0.9941762694883347
2026-01-24,0.9951319666006074
2026-01-26,0.9951319666006074
2026-01-27,0.9951319666006074
2026-01-28,0.9951319666006074
2026-01-29,0.9951319666006074
2026-01-30,0.9951319666006074
2026-01-31,0.9951319666006074
2026-02-01,0.9951319666006074
2026-02-02,0.9951319666006074
2026-02-03,0.9951319666006074
2026-02-04,0.9951319666006074
2026-02-05,0.9951319666006074
2026-02-06,0.9951319666006074
2026-02-07,0.9951319666006074
2026-02-08,0.9951319666006074
2026-02-09,0.9951319666006074
2026-02-10,0.9951319666006074
2026-02-11,0.9951319666006074
2026-02-12,0.9951319666006074
2026-02-13,0.9951319666006074
2026-02-14,0.9951319666006074
2026-02-15,0.9951319666006074
2026-02-16,0.9951319666006074
2026-02-17,0.9964744322738126
2026-02-18,0.9964961179218913
2026-02-19,0.9964961179218913
2026-02-20,0.9964961179218913
2026-02-21,0.9964961179218913
2026-02-23,0.9964961179218913
2026-02-25,0.9970458706633958
2026-02-26,0.997609226736867
2026-02-28,0.997609226736867
2026-03-01,0.9982742931417917
2026-03-02,0.9982742931417917
2026-03-03,0.9982742931417917
2026-03-04,0.9834500906827867
2026-03-05,0.998132356933014
2026-03-07,0.998132356933014
2026-03-08,0.998132356933014
2026-03-09,0.998132356933014
2026-03-10,0.998132356933014
2026-03-11,0.998132356933014
2026-03-12,0.998132356933014
2026-03-13,0.998132356933014
2026-03-14,0.998132356933014
2026-03-15,0.998132356933014
2026-03-16,0.998132356933014
2026-03-17,0.998132356933014
2026-03-18,0.9577300762843174
2026-03-19,0.9755757010652879
2026-03-20,0.9755757010652879
2026-03-21,0.9755757010652879
2026-03-22,0.9755757010652879
2026-03-23,0.9755757010652879
2026-03-24,0.9755757010652879
2026-03-25,0.9755757010652879
2026-03-26,0.9755757010652879
2026-03-27,0.9755757010652879
2026-03-28,0.9755757010652879
