date,Cháo,Miến - Hủ Tíu - Bánh Canh,Mì,Phở - Bún
2025-12-18,,,1.0,
2025-12-19,,,1.0,
2025-12-20,,,1.0,
2025-12-22,,,1.0,
2025-12-23,,,1.0,
2025-12-24,,,1.0,
2025-12-25,,,1.0,
2025-12-26,,,1.0,
2025-12-27,,,1.0,
2025-12-28,,,1.0,
2025-12-29,,,1.0,
2025-12-30,,,1.0,
2025-12-31,,,1.0,
2026-01-01,,,1.0,
2026-01-02,,,1.0,
2026-01-03,,,1.0,
2026-01-04,,,1.0,
2026-01-05,,,1.0,
2026-01-06,1.0,1.0,1.0,
2026-01-07,1.0,1.0,1.0,
2026-01-08,1.0,1.0,1.0,
2026-01-09,1.0,1.0,1.0,
2026-01-10,1.0,1.0,1.0,
2026-01-11,1.0,1.0,1.0,1.0
2026-01-12,1.0,1.0,1.0,1.0
2026-01-13,1.0,1.0,1.0,1.0
2026-01-14,1.0,1.0,1.0,1.0
2026-01-15,1.0,1.0,1.0,1.0
2026-01-16,1.0,1.0,1.0,1.0
2026-01-17,1.0,1.0,1.0,1.0
2026-01-18,1.0,1.0,1.0,1.0
2026-01-19,1.0,1.0,1.0,1.0
2026-01-20,1.0,1.0,1.0,1.0
2026-01-21,1.0,1.0,1.0,1.0
2026-01-22,1.0,1.0,1.0,1.0
2026-01-23,1.0,1.0,1.0,1.0
2026-01-24,1.0,1.0,1.0,1.0
2026-01-26,1.0,1.0,1.0,1.0
2026-01-27,1.0,1.0,1.0,1.0
2026-01-28,1.0,1.0,1.0,1.0
2026-01-29,1.0,1.0,1.0,1.0
2026-01-30,1.0,1.0,1.0,1.0
2026-01-31,1.0,1.0,1.0,1.0
2026-02-18,1.0,1.0,0.9987476493904754,1.116926475859198
2026-02-19,1.0,1.0,0.9987476493904754,1.116926475859198
2026-02-20,1.0,1.0,0.9987476493904754,1.116926475859198
2026-02-21,1.0,1.0,0.9987476493904754,1.116926475859198
2026-02-22,1.0,1.0,0.9987476493904754,1.116926475859198
2026-02-23,1.0,1.0,0.9987476493904754,1.116926475859198
2026-02-24,1.0,0.9639545223662984,0.9872223969589832,1.0987440417419394
2026-02-25,1.0277288487251794,0.9766829954835972,0.9996106643455969,1.1143532963101646
2026-02-26,1.0277288487251794,0.9766829954835972,0.9996106643455969,1.1143532963101646
2026-02-27,1.0277288487251794,0.9766829954835972,0.9996106643455969,1.1143532963101646
2026-02-28,1.0277288487251794,0.9766829954835972,0.9996106643455969,1.1143532963101646
2026-03-01,1.0277288487251794,0.9766829954835972,0.9996106643455969,1.1143532963101646
2026-03-02,1.0277288487251794,0.9766829954835972,0.9996106643455969,1.1143532963101646
2026-03-03,1.0277288487251794,0.9766829954835972,0.9996106643455969,1.1143532963101646
2026-03-04,1.0277288487251794,0.9895914977746672,1.0068566136790287,1.1135179471332162
2026-03-05,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-06,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-07,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-08,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-09,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-10,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-11,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-12,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-13,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-14,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-15,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-16,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-17,1.0277288487251794,0.9895914977746672,1.011120834757739,1.1242068980916273
2026-03-18,1.0277288487251794,0.9829853323237859,1.0066702979598452,1.1245175390070248
2026-03-19,1.0678681535593693,0.998812333900371,1.0258885021149398,1.1245175390070248
2026-03-20,1.0678681535593693,0.998812333900371,1.0258885021149398,1.1245175390070248
