date,Chăm Sóc Cá Nhân Khác,Chăm Sóc Da,Chăm Sóc Phụ Nữ,Chăm Sóc Răng Miệng,Chăm Sóc Tóc
2025-12-18,1.0,1.0,1.0,1.0,1.0
2025-12-20,1.0,1.0,1.0,1.0,1.0
2025-12-22,1.0,1.0,1.0,1.0,1.0
2025-12-23,1.0,1.0,1.0,1.0,1.0
2025-12-24,1.0,1.0,1.0,1.0,1.0
2025-12-25,1.0,1.0,1.0,1.0,1.0
2025-12-26,1.0,1.0,1.0,1.0,1.0
2025-12-27,1.0,1.0,1.0,1.0,1.0
2025-12-28,1.0,1.0,1.0,1.0,1.0
2025-12-29,1.0,1.0,1.0,1.0,1.0
2025-12-30,1.0,1.0,1.0,1.0,1.0
2025-12-31,1.0,1.0,1.0,1.0,1.0
2026-01-01,1.0151863568697808,1.0,1.0,1.026386230976471,1.0
2026-01-02,1.0151863568697808,1.0,1.0,1.026386230976471,1.0
2026-01-03,1.0151863568697808,1.0,1.0,1.026386230976471,1.0
2026-01-04,1.0151863568697808,1.0,1.0,1.026386230976471,1.0
2026-01-05,1.0151863568697808,1.0,1.0,1.0753230571480998,1.0
2026-01-06,0.960490030933621,1.0006883759682288,1.0,0.9013046315687603,0.9628814668447482
2026-01-07,0.9646727018507085,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-08,0.9646727018507085,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-09,0.9646727018507085,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-10,0.9646727018507085,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-11,0.9646727018507085,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-12,0.9646727018507085,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-13,0.9646727018507085,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-14,0.9646727018507085,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-15,0.9646727018507085,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-16,0.9646727018507085,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-17,0.9646727018507085,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-18,0.9512553235031729,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-19,0.9512553235031729,1.020401394073394,1.0,1.0668213937494473,0.9757877455245995
2026-01-20,0.9037537496201997,1.020401394073394,1.0,0.940843566648425,0.9573737602854036
2026-01-21,0.9037537496201997,1.020401394073394,1.0,0.9934819891821834,1.109071877100111
2026-01-22,0.9037537496201997,1.020401394073394,1.0,0.9934819891821834,1.109071877100111
2026-01-23,0.9037537496201997,1.020401394073394,1.0,0.9934819891821834,1.109071877100111
2026-01-24,0.9037537496201997,1.020401394073394,1.0,0.9827329036769161,1.1007848359896313
2026-01-25,0.9037537496201997,1.020401394073394,1.0,0.9827329036769161,1.1007848359896313
2026-01-26,0.9037537496201997,1.020401394073394,1.0,0.9827329036769161,1.1007848359896313
2026-01-27,0.9037537496201997,1.020401394073394,1.0,0.9827329036769161,1.1007848359896313
2026-01-28,0.9037537496201997,1.020401394073394,1.0,0.9827329036769161,1.1007848359896313
2026-01-29,0.9037537496201997,1.020401394073394,1.0,0.9827329036769161,1.1007848359896313
2026-01-30,0.9037537496201997,1.020401394073394,1.0,0.9827329036769161,1.1007848359896313
2026-01-31,0.9037537496201997,1.020401394073394,1.0,0.9827329036769161,1.1007848359896313
2026-02-01,0.9037537496201997,1.020401394073394,1.0,0.9827329036769161,1.1007848359896313
2026-02-02,0.9037537496201997,1.020401394073394,1.0,0.9827329036769161,1.1007848359896313
2026-02-03,0.8965319967547433,1.020401394073394,1.0,0.9684916788023492,1.0134737635138396
2026-02-04,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-05,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-06,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-07,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-08,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-09,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-10,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-11,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-12,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-13,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-14,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-15,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-17,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
2026-02-18,0.9197912799517312,1.4350943858798164,1.0,1.047622528499352,1.047012555773734
